"Id","Name","ProductCategory__c","PlanCategory__c","AccountCount__c","CSV_DealId","CSV_Product","CSV_Quantity"
"a08RB00001Z16R5YAJ","株式会社 アイエス不動産 の取引",,,,"136","knock knock AI 都度払い,knock knock AI Basicプラン","6"
"a08RB00001Z16R6YAJ","株式会社飯田組 の取引",,,,"137","Rendery Proプラン","2"
"a08RB00001Z16R7YAJ","株式会社ディア・ライフ の取引",,,,"138","",""
"a08RB00001Z16R8YAJ","清水建設株式会社 の取引",,,,"139","Rendery Enterpriseプラン","5"
"a08RB00001Z16R9YAJ","大東建託株式会社 の取引",,,,"140","",""
"a08RB00001Z16RBYAZ","東急不動産ホールディングス株式会社/東急不動産株式会社 の取引",,,,"142","Rendery Enterpriseプラン","20"
"a08RB00001Z16RCYAZ","大林ファシリティーズ株式会社 の取引",,,,"143","Rendery Proプラン","1"
"a08RB00001Z16RDYAZ","TBCグループ株式会社 の取引",,,,"144","Rendery Enterpriseプラン","0"
"a08RB00001Z16REYAZ","Asplead株式会社 の取引",,,,"145","Rendery Proプラン","2"
"a08RB00001Z16RFYAZ","三菱地所レジデンス の取引",,,,"146","Rendery Proプラン","2"
"a08RB00001Z16RGYAZ","TOPPAN株式会社 の取引",,,,"147","Rendery Proプラン","2"
"a08RB00001Z16RHYAZ","ビルド・ワークス の取引",,,,"148","Rendery Proプラン","1"
"a08RB00001Z16RIYAZ","YAF の取引",,,,"149","",""
"a08RB00001Z16RJYAZ","清水建設株式会社(スマートシティ) の取引",,,,"151","Rendery Enterpriseプラン","5"
"a08RB00001Z16RKYAZ","東京建物株式会社 の取引",,,,"165","",""
"a08RB00001Z16RLYAZ","大成建設株式会社 の取引",,,,"170","Rendery Enterpriseプラン","10"
"a08RB00001Z16RMYAZ","生和コーポレーション株式会社(関東) の取引",,,,"172","",""
"a08RB00001Z16RNYAZ","株式会社ユタカコーポレーション の取引",,,,"173","knock knock AI 都度払い","1"
"a08RB00001Z16ROYAZ","ソーシャルインテリア の取引",,,,"174","Rendery Enterpriseプラン","5"
"a08RB00001Z16RPYAZ","東京海上日動ファシリティーズ株式会社 の取引",,,,"175","Rendery Enterpriseプラン","5"
"a08RB00001Z16RQYAZ","株式会社ほりきり太郎不動産 の取引",,,,"178","knock knock AI 都度払い","1"
"a08RB00001Z16RRYAZ","株式会社エイブル",,,,"179","knock knock AI Enterpriseプラン","2"
"a08RB00001Z16RSYAZ","生和コーポレーション株式会社(西日本支社)",,,,"180","Rendery Enterpriseプラン","10"
"a08RB00001Z16RTYAZ","日鉄興和不動産株式会社",,,,"181","Rendery Enterpriseプラン","13"
"a08RB00001Z16RUYAZ","相鉄アーバンクリエイツ　西口事業部 の取引",,,,"182","Rendery Proプラン","1"
"a08RB00001Z16RWYAZ","株式会社JPMC",,,,"185","",""
"a08RB00001Z16RXYAZ","森ビル株式会社 の取引",,,,"188","Rendery Proプラン","1"
"a08RB00001Z16RYYAZ","三弘建築事務所株式会社",,,,"190","Rendery Enterpriseプラン（代理販売）","60"
"a08RB00001Z16RZYAZ","株式会社大阪ガスファシリティーズ の取引",,,,"191","",""
"a08RB00001Z16RaYAJ","TR-Archi Office の取引",,,,"192","",""
"a08RB00001Z16RdYAJ","三越伊勢丹プロパティデザイン株式会社",,,,"195","Rendery Proプラン","5"
"a08RB00001Z16ReYAJ","株式会社住研川越 の取引",,,,"196","knock knock AI Basicプラン","1"
"a08RB00001Z16RfYAJ","荏原環境プラント株式会社 の取引",,,,"197","Rendery Enterpriseプラン,Rendery セキュリティオプション+_初期費用,Rendery セキュリティオプション+_運用費用","7"
"a08RB00001Z16RgYAJ","株式会社ホープハウスシステム の取引",,,,"198","",""
"a08RB00001Z1G65YAF","株式会社ビヨンドボーダーズ の取引",,,,"199","",""
"a08RB00001Z1G66YAF","株式会社brackets の取引",,,,"200","Rendery Proプラン","1"
"a08RB00001Z1G6AYAV","株式会社FUNC DESIGN の取引",,,,"204","Rendery Proプラン","1"
"a08RB00001Z1G6BYAV","株式会社サイバーエージェント の取引",,,,"205","Rendery Proプラン","3"
"a08RB00001Z1G6CYAV","豊通ファシリティーズ株式会社 の取引",,,,"206","Rendery Proプラン","1"
"a08RB00001Z1G6DYAV","東急リバブル株式会社",,,,"207","Rendery Enterpriseプラン","10"
"a08RB00001Z1G6EYAV","株式会社アルテ",,,,"208","Rendery Enterpriseプラン（代理販売）","120"
"a08RB00001Z1G6FYAV","8175 STUDIO の取引",,,,"209","Rendery Proプラン","1"
"a08RB00001Z1G6GYAV","株式会社日企設計",,,,"211","Rendery Proプラン(代理販売)","6"
"a08RB00001Z1G6HYAV","地盤ネット株式会社 の取引",,,,"213","Rendery Proプラン","4"
"a08RB00001Z1G6IYAV","株式会社Lakke の取引",,,,"214","knock knock AI Basicプラン","1"
"a08RB00001Z1G6JYAV","株式会社ササキハウス の取引",,,,"215","knock knock AI Basicプラン","1"
"a08RB00001Z1G6KYAV","生和コーポレーション株式会社 Update",,,,"216","Rendery Enterpriseプラン","10"
"a08RB00001Z1G6LYAV","群馬セキスイハイム株式会社",,,,"217","Rendery Proプラン","2"
"a08RB00001Z1G6MYAV","石友ホーム株式会社 の取引",,,,"218","",""
"a08RB00001Z1G6NYAV","JR九州コンサルタンツ株式会社",,,,"219","Rendery Proプラン","1"
"a08RB00001Z1G6OYAV","ハゼモト建設株式会社",,,,"220","knock knock AI Proプラン","1"
"a08RB00001Z1G6PYAV","(株)ビ・ハウス",,,,"221","Rendery Proプラン","5"
"a08RB00001Z1G6QYAV","株式会社IAO竹田設計 の取引",,,,"222","",""
"a08RB00001Z1G6RYAV","イナバインターナショナル株式会社 の取引",,,,"223","Rendery Enterpriseプラン","5"
"a08RB00001Z1G6SYAV","株式会社THREE",,,,"224","Rendery Proプラン","2"
"a08RB00001Z1G6TYAV","株式会社オフィスネット",,,,"225","Rendery Proプラン","2"
"a08RB00001Z1G6UYAV","株式会社エドケンハウス の取引",,,,"226","",""
"a08RB00001Z1G6VYAV","株式会社スタジオ・ノア の取引",,,,"227","Rendery Proプラン","1"
"a08RB00001Z1G6WYAV","株式会社アイリン の取引",,,,"228","Rendery Proプラン","2"
"a08RB00001Z1G6XYAV","三井住友建設 の取引",,,,"229","Rendery Proプラン","1"
"a08RB00001Z1G6YYAV","株式会社エサキホーム の取引",,,,"230","",""
"a08RB00001Z1G6ZYAV","株式会社ケン・プロパティマネジメント",,,,"231","knock knock AI Basicプラン","1"
"a08RB00001Z1G6aYAF","株式会社エドケンハウス",,,,"232","Rendery Proプラン","1"
"a08RB00001Z1G6bYAF","創建ホーム株式会社",,,,"233","Rendery Enterpriseプラン（年払い）","72"
"a08RB00001Z1G6cYAF","株式会社中村不動産開発",,,,"236","knock knock AI Basicプラン","1"
"a08RB00001Z1G6dYAF","オフィスコム株式会社",,,,"237","Rendery Proプラン","2"
"a08RB00001Z1G6eYAF","株式会社丹青社",,,,"238","Rendery Proプラン","3"
"a08RB00001Z1G6fYAF","田中土建工業株式会社",,,,"239","Rendery Proプラン","8"
"a08RB00001Z1G6gYAF","東急株式会社",,,,"240","",""
"a08RB00001Z1G6hYAF","株式会社竹中工務店",,,,"241","Rendery Enterpriseプラン","5"
"a08RB00001Z1G6iYAF","大京穴吹不動産株式会社",,,,"242","knock knock AI Enterpriseプラン","1"
"a08RB00001Z1G6jYAF","信和不動産株式会社 の取引",,,,"243","Rendery Enterpriseプラン,Rendery セキュリティオプション+_初期費用,Rendery セキュリティオプション+_運用費用","7"
"a08RB00001Z1G6kYAF","株式会社ひなたや の取引",,,,"245","Rendery Proプラン","1"
"a08RB00001Z1G6lYAF","株式会社キムラタン の取引",,,,"247","knock knock AI 都度払い","2"
"a08RB00001Z1G6nYAF","前田建設工業株式会社",,,,"250","Rendery Enterpriseプラン","5"
"a08RB00001Z1G6oYAF","（株）えん道エステート の取引",,,,"251","",""
"a08RB00001Z1G6pYAF","柏井建設 株式会社",,,,"252","Rendery Enterpriseプラン","5"
"a08RB00001Z1G6qYAF","株式会社エディオン",,,,"253","",""
"a08RB00001Z1G6rYAF","株式会社 トーケン",,,,"254","Rendery Proプラン","10"
"a08RB00001Z1G6sYAF","株式会社紀伊國屋書店",,,,"255","Rendery Proプラン","5"
"a08RB00001Z1G6tYAF","ヤマハ株式会社",,,,"256","",""
"a08RB00001Z1G6vYAF","京王建設株式会社 の取引",,,,"258","",""
"a08RB00001Z1G6wYAF","テスト",,,,"264","",""
"a08RB00001Z1G6xYAF","株式会社アールシーコア",,,,"265","Rendery Enterpriseプラン,Rendery セキュリティオプション+_初期費用,Rendery セキュリティオプション+_運用費用","12"
"a08RB00001Z1G6yYAF","株式会社REデザイン の取引",,,,"266","Rendery Proプラン,Rendery 初回レクチャー","3"
"a08RB00001Z1G6zYAF","株式会社長谷工コーポレーション",,,,"267","Rendery Enterpriseプラン","5"
"a08RB00001Z1G70YAF","ナックハウスパートナー 株式会社",,,,"268","Rendery Proプラン,knock knock AI Basicプラン","3"
"a08RB00001Z1G71YAF","ジェイアール東海コンサルタンツ株式会社 の取引",,,,"269","",""
"a08RB00001Z1G72YAF","Metricon株式会社",,,,"270","",""
"a08RB00001Z1G73YAF","阪急阪神不動産",,,,"271","Rendery Enterpriseプラン,Rendery セキュリティオプション(SSO)_初期費用,Rendery セキュリティオプション(SSO)_運用費用","7"
"a08RB00001Z1G74YAF","エスコンリビングサービス取引",,,,"272","knock knock AI 都度払い","1"
"a08RB00001Z1G75YAF","YKK AP 株式会社",,,,"273","Rendery Enterpriseプラン","10"
"a08RB00001Z1G76YAF","くらし研究室の取引",,,,"274","",""
"a08RB00001Z1G77YAF","株式会社大伸社ディライト の取引",,,,"275","Rendery Proプラン","2"
"a08RB00001Z1G78YAF","株式会社 えん道エステート",,,,"276","",""
"a08RB00001Z1G79YAF","京王建設株式会社",,,,"277","",""
"a08RB00001Z1G7BYAV","公益財団法人・NPO等RIM系団体 の取引",,,,"324","Rendery Basicプラン","1"
"a08RB00001Z1G7CYAV","DEF BAUM の取引",,,,"325","Rendery Basicプラン","1"
"a08RB00001Z1G7GYAV","株式会社ひかり工務店 の取引",,,,"363","",""
"a08RB00001Z1G7JYAV","秋好建築設計事務所 の取引",,,,"366","Rendery Proプラン","1"
"a08RB00001Z1G7MYAV","有限会社ジャモアソシエイツ の取引",,,,"369","Rendery Proプラン","1"
"a08RB00001Z1G7OYAV","プロバイダ型ドメイン の取引",,,,"371","Rendery Proプラン","1"
"a08RB00001Z1G7QYAV","株式会社JTBアセットマネジメント の取引",,,,"373","",""
"a08RB00001Z1G7RYAV","ゴールドクレスト株式会社 の取引",,,,"374","Rendery Proプラン","1"
"a08RB00001Z1G7SYAV","株式会社WIZU の取引",,,,"375","Rendery Proプラン","2"
"a08RB00001Z1G7TYAV","株式会社テンランド の取引",,,,"376","Rendery Proプラン","1"
"a08RB00001Z1G7VYAV","株式会社ぷららネットワークス の取引",,,,"378","Rendery Proプラン","1"
"a08RB00001Z1G7XYAV","mizuiro architects 一級建築士事務所 の取引",,,,"380","",""
"a08RB00001Z1G7YYAV","株式会社ライフステージ の取引",,,,"381","Rendery Proプラン","2"
"a08RB00001Z1G7bYAF","野村不動産ホールディングス株式会社 の取引",,,,"384","Rendery Proプラン","1"
"a08RB00001Z1G7cYAF","Apple Inc. の取引",,,,"385","Rendery Proプラン","1"
"a08RB00001Z1G7dYAF","昭和建設株式会社 等 の取引",,,,"386","Rendery Proプラン","2"
"a08RB00001Z1G7fYAF","株式会社一条工務店 の取引",,,,"388","",""
"a08RB00001Z1G7gYAF","夢企工 の取引",,,,"389","Rendery Proプラン","1"
"a08RB00001Z1G7iYAF","の取引",,,,"391","Rendery Proプラン","1"
"a08RB00001Z1G7jYAF","㈱ライフステージ の取引",,,,"392","Rendery Proプラン","2"
"a08RB00001Z1G7lYAF","株式会社リアルゲイト",,,,"394","Rendery Enterpriseプラン","10"
"a08RB00001Z1G7mYAF","株式会社NTTファシリティーズ の取引",,,,"395","Rendery Enterpriseプラン","10"
"a08RB00001Z1G7nYAF","フロアマイスター株式会社 の取引",,,,"396","Rendery Proプラン","1"
"a08RB00001Z1G7oYAF","大和ハウス工業 株式会社",,,,"398","Rendery Enterpriseプラン","5"
"a08RB00001Z1G7pYAF","株式会社グッドライフ の取引",,,,"399","Rendery Enterpriseプラン","10"
"a08RB00001Z1G7qYAF","株式会社ReGo",,,,"400","knock knock AI Basicプラン","1"
"a08RB00001Z1G7rYAF","東京ガスリノベーション株式会社",,,,"401","knock knock AI Basicプラン","1"
"a08RB00001Z1G7sYAF","笹木産業株式会社",,,,"402","",""
"a08RB00001Z1G7tYAF","ヒューリックプロパティソリューション株式会社",,,,"404","Rendery Enterpriseプラン,Rendery セキュリティオプション+_初期費用,Rendery セキュリティオプション+_運用費用","7"
"a08RB00001Z1G7uYAF","株式会社田中建設 の取引",,,,"405","",""
"a08RB00001Z1G7vYAF","京阪電鉄不動産株式会社",,,,"408","Rendery Proプラン","1"
"a08RB00001Z1G7wYAF","株式会社久保建築設計 の取引",,,,"409","Rendery Enterpriseプラン","5"
"a08RB00001Z1G7xYAF","北斗工業エンヂニアリング　株式会社 の取引",,,,"410","",""
"a08RB00001Z1G7yYAF","東宝ハウス調布",,,,"411","knock knock AI Proプラン","1"
"a08RB00001Z1G7zYAF","株式会社 未来建築工房 の取引",,,,"412","",""
"a08RB00001Z1G80YAF","ジーク株式会社",,,,"413","Rendery Enterpriseプラン","5"
"a08RB00001Z1G81YAF","株式会社さくら総合地所",,,,"414","",""
"a08RB00001Z1G82YAF","株式会社田中建設",,,,"415","",""
"a08RB00001Z1G83YAF","亀飼遼太 様",,,,"416","",""
"a08RB00001Z1G84YAF","(株)ビ・ハウス",,,,"418","",""
"a08RB00001Z1G85YAF","Act Amuse Japan 株式会社",,,,"419","",""
"a08RB00001Z1G86YAF","realize の取引",,,,"420","",""
"a08RB00001Z1G87YAF","Phantom株式会社",,,,"421","Rendery Proプラン","2"
"a08RB00001Z1G88YAF","梅林建設株式会社 の取引",,,,"422","Rendery Enterpriseプラン","5"
"a08RB00001Z1G89YAF","株式会社小林創建",,,,"423","Rendery Proプラン","1"
"a08RB00001Z1G8AYAV","東建コーポレーション株式会社",,,,"424","Rendery Proプラン","2"
"a08RB00001Z1G8CYAV","トヨタコニックプロ株式会社 の取引",,,,"426","Rendery Enterpriseプラン,Rendery セキュリティオプション(SSO)_初期費用,Rendery セキュリティオプション(SSO)_運用費用","7"
"a08RB00001Z1G8DYAV","株式会社おきなわアセットブリッジ",,,,"427","knock knock AI Basicプラン","1"
"a08RB00001Z1G8EYAV","相鉄不動産株式会社",,,,"428","Rendery Enterpriseプラン","10"
"a08RB00001Z1G8FYAV","株式会社E・M・LUMBER",,,,"429","Rendery Proプラン","1"
"a08RB00001Z1G8GYAV","株式会社小河原建設 の取引",,,,"430","Rendery Proプラン","1"
"a08RB00001Z1G8HYAV","ストレッチテント・カンパニー",,,,"431","Rendery Proプラン","1"
"a08RB00001Z1G8IYAV","トヨタコニックプロ株式会社",,,,"432","Rendery Proプラン","5"
"a08RB00001Z1G8JYAV","三井不動産レジデンシャルリース株式会社(ソリ推)のCS",,,,"436","Rendery Enterpriseプラン","12"
"a08RB00001Z1G8LYAV","日鉄興和不動産株式会社（S)",,,,"438","Rendery Enterpriseプラン","13"
"a08RB00001Z1G8MYAV","株式会社B-PROJECT の取引 (B)",,,,"439","Rendery Enterpriseプラン","6"
"a08RB00001Z1G8NYAV","株式会社アールシーコア",,,,"440","",""
"a08RB00001Z1G8OYAV","株式会社フジタ(A)",,,,"441","Rendery Enterpriseプラン","5"
"a08RB00001Z1G8PYAV","株式会社石勝エクステリア の取引 (A)",,,,"442","Rendery Enterpriseプラン,Rendery セキュリティオプション(SSO)_初期費用,Rendery セキュリティオプション(SSO)_運用費用","12"
"a08RB00001Z1G8QYAV","iFIND株式会社",,,,"443","Rendery Enterpriseプラン","12"
"a08RB00001Z1G8RYAV","iFIND株式会社 (アイリスグループ)",,,,"444","Rendery Enterpriseプラン","12"
"a08RB00001Z1G8SYAV","東急リゾーツ&ステイ株式会社",,,,"445","Rendery Enterpriseプラン","9"
"a08RB00001Z1G8TYAV","東急リゾーツ&ステイ株式会社 (S)",,,,"446","Rendery Enterpriseプラン","9"
"a08RB00001Z1G8UYAV","大東建託株式会社 流通設計部 (コピー)",,,,"447","Rendery Enterpriseプラン","1"
"a08RB00001Z1G8VYAV","サンフロンティア不動産株式会社",,,,"448","Rendery Enterpriseプラン","5"
"a08RB00001Z1G8WYAV","大和財託株式会社(A)",,,,"449","Rendery Enterpriseプラン","10"
"a08RB00001Z1G8XYAV","株式会社ルミネ",,,,"450","Rendery Proプラン","1"
"a08RB00001Z1G8YYAV","株式会社夢のおてつだい",,,,"451","knock knock AI Proプラン","1"
"a08RB00001Z1G8ZYAV","株式会社久家設計事務所",,,,"453","Rendery Proプラン","1"
"a08RB00001Z1G8aYAF","株式会社アースウィンド",,,,"454","Rendery Proプラン","1"
"a08RB00001Z1G8bYAF","福岡地所株式会社",,,,"455","Rendery Proプラン","1"
"a08RB00001Z1G8cYAF","東邦レオ 株式会社",,,,"456","Rendery Proプラン","0"
"a08RB00001Z1G8dYAF","株式会社サンケイビル",,,,"457","Rendery Enterpriseプラン（年払い）","5"
"a08RB00001Z1G8eYAF","47内装株式会社(B)",,,,"458","Rendery Enterpriseプラン","5"
