"Id","Name","Work","WorkStatus","WorkMessage","Description__c","Suggested","Confirmed","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","InvoiceLineProduct","ResolveMessage__c"
"a0ERB00000OjnWm2AJ","MFILW-000265","MFIW-000169","要確認","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。","knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","取得済み",,,"経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
"a0ERB00000OjnWn2AJ","MFILW-000266","MFIW-000170","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。","knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","取得済み","a01RB00001ZIQfdYAH","[OLD] Rendery Enterpriseプラン(2025年9月まで)","経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
"a0ERB00000OjwBm2AJ","MFILW-000321","MFIW-000222","要確認","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。","knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","取得済み",,,"経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
"a0ERB00000OjwBp2AJ","MFILW-000324","MFIW-000225","要確認","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。","knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","取得済み",,,"経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
"a0ERB00000OjwBq2AJ","MFILW-000325","MFIW-000226","反映済み",,"knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","反映済み","a01RB00001cFsY0YAK","knock knock AI Basicプラン(50クレジット)","経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
"a0ERB00000OjzO52AJ","MFILW-000373","MFIW-000271","要確認","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。","knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","取得済み",,,"経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
"a0ERB00000OjzO62AJ","MFILW-000374","MFIW-000272","反映済み",,"knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","反映済み","a01RB00001cFsXzYAK","knock knock AI Basicプラン(50クレジット)","経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
"a0ERB00000PIXwq2AH","MFILW-000554","MFIW-000418","反映済み",,"knock knock AI Basicプラン","knock knock AI Basicプラン(50クレジット)","knock knock AI Basicプラン(50クレジット)","確定済み","反映済み","a01RB00001cFsY1YAK","knock knock AI Basicプラン(50クレジット)","経理確認済み: knock knock AI Basicプラン(50クレジット)として確定。"
