Id,Name,Freee_Invoice_Id__c,Account__c,Account__r.Name,ParentContract__c,ParentContract__r.Name,ContractPeriod__c,Billing_Date__c,TotalAmount__c,TaxAmount__c,Freee_Invoice_Status__c,PaymentStatus__c
a00RB00002BbzTPYAZ,INV-0000000413,50683953,001RB00001VTruMYAT,大東建託株式会社,a04RB00000kUAOiYAO,CN-00000070,a0BRB00000ynb6d2AA,2026-01-29,96000,28800,送付済み,決済済み
a00RB00002BbzTQYAZ,INV-0000000414,52182829,001RB00001VTrwFYAT,株式会社フジタ,a04RB00000kUAOlYAO,CN-00000073,a0BRB00000ynb6g2AA,2026-02-20,75000,15000,送付済み,決済済み
a00RB00002BbzTRYAZ,INV-0000000415,46403134,001RB00001VTqmcYAD,生和コーポレーション株式会社,a04RB00000kUAOdYAO,CN-00000065,a0BRB00000ynb6Y2AQ,2025-12-19,48000,4800,送付済み,決済済み
