Id,Name,MasterContract__c,ContractYearMonth__c,Plan__c,PeopleNumber__c,RevenueAmount__c,ProductMaster__c,ProductMaster__r.Name
a03RB00001NswYhYAJ,リリカラ(大塚商会)_2026/01,a04RB00000kUANuYAO,2026/01,Pro＋,2,,,
a03RB00001NswYgYAJ,リリカラ(大塚商会)_2025/12,a04RB00000kUANuYAO,2025/12,Pro＋,2,,,
a03RB00001NswYfYAJ,リリカラ(大塚商会)_2025/11,a04RB00000kUANuYAO,2025/11,Pro＋,2,,,
a03RB00001NswYeYAJ,リリカラ(大塚商会)_2025/10,a04RB00000kUANuYAO,2025/10,Pro＋,2,,,
a03RB00001NswYdYAJ,リリカラ(大塚商会)_2025/09,a04RB00000kUANuYAO,2025/09,Pro＋,2,,,
a03RB00001NswYcYAJ,リリカラ(大塚商会)_2025/08,a04RB00000kUANuYAO,2025/08,Pro＋,2,,,
a03RB00001NswYbYAJ,リリカラ(大塚商会)_2025/07,a04RB00000kUANuYAO,2025/07,Pro＋,2,,,
a03RB00001NswYaYAJ,リリカラ(大塚商会)_2025/06,a04RB00000kUANuYAO,2025/06,Pro＋,2,,,
a03RB00001NswYZYAZ,リリカラ(大塚商会)_2025/05,a04RB00000kUANuYAO,2025/05,Pro＋,2,,,
a03RB00001NswYYYAZ,リリカラ(大塚商会)_2025/04,a04RB00000kUANuYAO,2025/04,Pro＋,2,,,
a03RB00001NswYXYAZ,リリカラ(大塚商会)_2025/03,a04RB00000kUANuYAO,2025/03,Pro＋,2,,,
a03RB00001NswYWYAZ,リリカラ(大塚商会)_2025/02,a04RB00000kUANuYAO,2025/02,Pro＋,2,,,
a03RB00001NswYVYAZ,リリカラ(大塚商会)_2025/01,a04RB00000kUANuYAO,2025/01,Pro＋,2,,,
a03RB00001NswYUYAZ,リリカラ(大塚商会)_2024/12,a04RB00000kUANuYAO,2024/12,Pro＋,2,,,
a03RB00001NswYTYAZ,リリカラ(大塚商会)_2024/11,a04RB00000kUANuYAO,2024/11,Pro＋,2,,,
a03RB00001STmGxYAL,九州旅客鉄道株式会社　工事部施設課_2026/08,a04RB00000kUANxYAO,2026/08,Pro,1,8000,,
a03RB00001RcABKYA3,九州旅客鉄道株式会社　工事部施設課_2026/07,a04RB00000kUANxYAO,2026/07,Pro,1,8000,,
