Id,Name,FreeeInvoiceId__c,BillingDate__c,ResolvedContract__c,ResolvedContract__r.Name,ImportStatus__c,CreatedInvoice__c,CreatedInvoice__r.Name,ValidationMessage__c
a0FRB00000aE0GN2A0,MFIW-000472,46403134,2025-12-19,a04RB00000kUAOdYAO,CN-00000065,反映済み,a00RB00002BbzTRYAZ,INV-0000000415,
a0FRB00000aCDG82AO,MFIW-000477,50683953,2026-01-29,a04RB00000kUAOiYAO,CN-00000070,反映済み,a00RB00002BbzTPYAZ,INV-0000000413,
a0FRB00000aDzP82AK,MFIW-000480,52182829,2026-02-20,a04RB00000kUAOlYAO,CN-00000073,反映済み,a00RB00002BbzTQYAZ,INV-0000000414,
