Id,Name,Account__c,ParentContract__c,ContractPeriod__c,Billing_Date__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,TotalAmount__c,Freee_Invoice_Id__c,Freee_Sync_Status__c,Sent_To_Freee__c,CancelStatus__c
a00RB000023liu7YAA,INV-0000000003,001RB00001UvdpFYAR,,,2026-06-19,,,24000,60979452,Success,true,通常
a00RB000024Ux4gYAC,INV-0000000035,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,2026-03-20,,,11000,54153824,Success,true,通常
a00RB000024Ux57YAC,INV-0000000062,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,2026-04-20,,,11000,56527519,Success,true,通常
a00RB000027flsLYAQ,INV-0000000133,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,2026-06-20,,,11000,60861151,Success,true,通常
a00RB00002B5oL5YAJ,INV-0000000383,001RB00001br9KPYAY,a04RB00000kUAOxYAO,a0BRB00000ynb6s2AA,2026-03-20,,,960000,54249842,Success,true,通常
a00RB00002BOnJhYAL,INV-0000000404,001RB00001VTqidYAD,a04RB00000nA94DYAS,,2026-06-29,2026-06-29,2027-03-31,0,,,false,通常
