Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ImportStatus__c,ValidationMessage__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c
a0FRB00000UtK9v2AF,MFIW-000044,54113194,2026-03-20,500500,反映可能,,001RB00001VTrmnYAD,a04RB00000kUAO0YAO,a0BRB00000ynb5v2AA,a00RB000024Ux4eYAC
a0FRB00000UtK9w2AF,MFIW-000045,54153823,2026-03-20,12100,反映済み,,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000024Ux4fYAC
a0FRB00000UtK9x2AF,MFIW-000046,54153824,2026-03-20,12100,反映済み,,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux4gYAC
a0FRB00000UtK9y2AF,MFIW-000047,54153825,2026-03-20,12100,反映済み,,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6K2AQ,a00RB000024Ux4hYAC
a0FRB00000UtK9z2AF,MFIW-000048,54153827,2026-03-20,12100,反映済み,,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,a00RB000024Ux4iYAC
a0FRB00000UtKA02AN,MFIW-000049,54153829,2026-03-20,12100,反映済み,,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6C2AQ,a00RB000024Ux4jYAC
a0FRB00000UtKCv2AN,MFIW-000051,54597510,2026-03-24,8800,反映済み,,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux4kYAC
a0FRB00000UtKCw2AN,MFIW-000052,54616884,2026-03-24,48400,反映済み,,001RB00001VTrGlYAL,a04RB00000kVL7bYAG,a0BRB00000ypw6F2AQ,a00RB000024Ux4lYAC
a0FRB00000UtKCx2AN,MFIW-000053,54630843,2026-03-24,275000,反映済み,,001RB00001VTqidYAD,a04RB00000kVL7RYAW,a0BRB00000ypw5z2AA,a00RB000024Ux4mYAC
a0FRB00000UtKG92AN,MFIW-000055,53459621,2026-03-27,82500,反映済み,,001RB00001VTrlAYAT,a04RB00000kVL7TYAW,a0BRB00000ypw642AA,a00RB000024Ux4nYAC
a0FRB00000UtKGA2A3,MFIW-000056,54891605,2026-03-27,176000,反映済み,,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4oYAC
a0FRB00000UtKJN2A3,MFIW-000057,55195079,2026-03-31,2057000,反映済み,,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,a00RB000027lnMpYAI
a0FRB00000UtKJO2A3,MFIW-000058,55195797,2026-03-31,1870000,反映済み,,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,a00RB000024Ux4qYAC
a0FRB00000UtKJP2A3,MFIW-000059,55196219,2026-03-31,1870000,対象外,同一取引先・同一請求日・同額の反映済み請求が存在するため、重複候補として対象外にしました。,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,
a0FRB00000UtKOD2A3,MFIW-000060,56351917,2026-04-14,145200,反映済み,,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4sYAC
a0FRB00000UtKRR2A3,MFIW-000061,56461100,2026-04-20,229900,反映済み,,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6P2AQ,a00RB000024Ux4tYAC
a0FRB00000UtKRS2A3,MFIW-000062,56461105,2026-04-20,145200,反映済み,,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4uYAC
