Id,Name,FreeeInvoiceId__c,ImportStatus__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ValidationMessage__c
a0FRB00000UtM9v2AF,MFIW-000127,60979452,反映済み,001RB00001UvdpFYAR,,,a00RB000023liu7YAA,
a0FRB00000UtK9x2AF,MFIW-000046,54153824,反映済み,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux4gYAC,
a0FRB00000UtKRf2AN,MFIW-000075,56527519,反映済み,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux57YAC,
a0FRB00000Wifcv2AB,MFIW-000158,60861151,反映済み,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,a0BRB0000124lpu2AA,a00RB000027flsLYAQ,
a0FRB00000Wio6l2AB,MFIW-000292,54249842,反映済み,001RB00001br9KPYAY,a04RB00000kUAOxYAO,a0BRB00000ynb6s2AA,a00RB00002B5oL5YAJ,
