Id,Name,ContractYearMonth__c,RelatedInvoice__c,RelatedInvoice__r.Name,RelatedInvoice__r.Account__c,RelatedInvoice__r.Account__r.Name,RelatedInvoice__r.ParentContract__c,RelatedInvoice__r.Freee_Invoice_Id__c,RelatedInvoice__r.Freee_Invoice_Number__c,RelatedInvoice__r.Freee_Sync_Status__c,RelatedInvoice__r.Freee_Sync_Message__c,RelatedInvoice__r.Retry_Count__c,RelatedInvoice__r.Freee_Invoice_Status__c,RelatedInvoice__r.PaymentStatus__c,RelatedInvoice__r.CancelStatus__c,RelatedInvoice__r.Billing_Date__c,RelatedInvoice__r.LastModifiedDate
a03RB00001NswrVYAR,株式会社TAKUTO_2026/01,2026/01,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswrWYAR,株式会社TAKUTO_2026/02,2026/02,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswrXYAR,株式会社TAKUTO_2026/03,2026/03,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswrYYAR,株式会社TAKUTO_2026/04,2026/04,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswrZYAR,株式会社TAKUTO_2026/05,2026/05,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001RIRF3YAP,株式会社TAKUTO_2026/06,2026/06,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001Uj0s7YAB,a03RB00001Uj0s7,2026/06,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001RcABfYAN,株式会社TAKUTO_2026/07,2026/07,a00RB000027fzNjYAI,INV-0000000152,001RB00001VTtIfYAL,株式会社TAKUTO,a04RB00000kUAQ0YAO,60861149,INV-0000001316,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpTYAR,株式会社香川不動産買取センター_2025/03,2025/03,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpUYAR,株式会社香川不動産買取センター_2025/04,2025/04,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
