Id,Name,Account__c,ParentContract__c,ContractPeriod__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,Billing_Date__c,Freee_Invoice_Status__c,PaymentStatus__c,CancelStatus__c,Freee_Invoice_Id__c
a00RB000024Ux4gYAC,INV-0000000035,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,a0BRB00000ynn5r2AA,,,2026-03-20,送付済み,決済済み,通常,54153824
a00RB000024Ux4hYAC,INV-0000000036,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6K2AQ,,,2026-03-20,送付済み,決済済み,通常,54153825
a00RB000024Ux4iYAC,INV-0000000037,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,,,2026-03-20,送付済み,決済済み,通常,54153827
a00RB000024Ux4jYAC,INV-0000000038,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6C2AQ,,,2026-03-20,送付済み,決済済み,通常,54153829
a00RB000024Ux4kYAC,INV-0000000039,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,,,2026-03-24,送付済み,決済済み,通常,54597510
a00RB000024Ux4lYAC,INV-0000000040,001RB00001VTrGlYAL,a04RB00000kVL7bYAG,a0BRB00000ypw6F2AQ,,,2026-03-24,送付済み,決済済み,通常,54616884
a00RB000024Ux4mYAC,INV-0000000041,001RB00001VTqidYAD,a04RB00000kVL7RYAW,a0BRB00000ypw5z2AA,,,2026-03-24,送付済み,決済済み,通常,54630843
a00RB000024Ux4nYAC,INV-0000000042,001RB00001VTrlAYAT,a04RB00000kVL7TYAW,a0BRB00000ypw642AA,,,2026-03-27,送付待ち,決済待ち,通常,53459621
a00RB000024Ux4oYAC,INV-0000000043,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,,,2026-03-27,送付済み,決済済み,通常,54891605
a00RB000024Ux4pYAC,INV-0000000044,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,,,2026-03-31,送付待ち,決済待ち,通常,55195079
a00RB000024Ux4qYAC,INV-0000000045,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,,,2026-03-31,送付済み,決済済み,通常,55195797
a00RB000024Ux4rYAC,INV-0000000046,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,,,2026-03-31,送付待ち,決済待ち,通常,55196219
a00RB000024Ux4sYAC,INV-0000000047,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,,,2026-04-14,送付済み,決済済み,通常,56351917
a00RB000024Ux4tYAC,INV-0000000048,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6P2AQ,,,2026-04-20,送付済み,決済済み,通常,56461100
a00RB000024Ux4uYAC,INV-0000000049,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,,,2026-04-20,送付待ち,決済待ち,通常,56461105
a00RB000024Ux4vYAC,INV-0000000050,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,,,2026-04-20,送付済み,決済済み,通常,56461107
a00RB000024Ux4wYAC,INV-0000000051,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,,,2026-04-20,送付済み,決済済み,通常,56461109
a00RB000024Ux4xYAC,INV-0000000052,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw612AA,,,2026-04-20,送付済み,決済済み,通常,56461111
a00RB000024Ux4yYAC,INV-0000000053,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,,,2026-04-20,送付済み,決済済み,通常,56461113
a00RB000024Ux4zYAC,INV-0000000054,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,,,2026-04-20,送付済み,決済済み,通常,56461115
a00RB000024Ux50YAC,INV-0000000055,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,,,2026-04-20,送付済み,決済済み,通常,56461117
a00RB000024Ux51YAC,INV-0000000056,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,,,2026-04-20,送付済み,決済済み,通常,56461119
a00RB000024Ux52YAC,INV-0000000057,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,,,2026-04-20,送付済み,決済済み,通常,56461121
a00RB000024Ux53YAC,INV-0000000058,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,,,2026-04-20,送付済み,決済待ち,通常,56461123
a00RB000024Ux54YAC,INV-0000000059,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,,,2026-04-20,送付済み,決済待ち,通常,56461125
a00RB000024Ux55YAC,INV-0000000060,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,,,2026-04-20,送付済み,決済済み,通常,56461126
a00RB000024Ux56YAC,INV-0000000061,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,,,2026-04-20,送付済み,決済済み,通常,56527514
a00RB000024Ux57YAC,INV-0000000062,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,a0BRB00000ynn5r2AA,,,2026-04-20,送付済み,決済済み,通常,56527519
a00RB000024Ux58YAC,INV-0000000063,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6L2AQ,,,2026-04-20,送付済み,決済済み,通常,56527522
a00RB000024Ux59YAC,INV-0000000064,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,,,2026-04-20,送付済み,決済済み,通常,56527524
a00RB000024Ux5AYAS,INV-0000000065,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6D2AQ,,,2026-04-20,送付済み,決済済み,通常,56527525
a00RB000024Ux5BYAS,INV-0000000066,001RB00001VTtIZYA1,a04RB00000kVL7QYAW,a0BRB00000ypw5y2AA,,,2026-04-20,送付済み,決済待ち,通常,56527526
a00RB000024Ux5CYAS,INV-0000000067,001RB00001VTqaKYAT,a04RB00000kUAPnYAO,a0BRB00000ynn5f2AA,,,2026-04-20,送付済み,決済待ち,通常,56527527
