Id,Name,Freee_Invoice_Id__c,Freee_Sync_Status__c,Freee_Sync_Message__c,Freee_Last_Synced_At__c,Freee_Invoice_Status__c,PaymentStatus__c,CancelStatus__c,InvoiceAmount__c,Payment_Date__c
a00RB000024Ux4nYAC,INV-0000000042,53459621,Success,,2026-07-28T03:22:46.000+0000,送付待ち,決済待ち,通常,82500,
a00RB000024Ux5BYAS,INV-0000000066,56527526,Success,,2026-07-28T03:22:47.000+0000,送付済み,決済済み,通常,12100,2026-05-31
a00RB000024Ux5DYAS,INV-0000000068,56826003,Success,,2026-07-28T03:22:47.000+0000,送付済み,決済待ち,通常,660000,2026-05-31
a00RB000024Ux5EYAS,INV-0000000069,56841170,Success,,2026-07-28T03:22:48.000+0000,送付済み,決済待ち,通常,950400,2026-05-31
a00RB000024Ux5JYAS,INV-0000000074,58268807,Success,,2026-07-28T03:22:48.000+0000,送付待ち,決済待ち,通常,0,
a00RB000024Vf1yYAC,INV-0000000103,59295041,Success,,2026-07-28T03:24:24.000+0000,送付待ち,決済待ち,通常,324500,
a00RB000027fzNjYAI,INV-0000000152,60861149,Success,,2026-07-28T03:24:24.000+0000,送付済み,決済待ち,通常,12100,2026-07-31
a00RB000027fzNlYAI,INV-0000000154,60861156,Success,,2026-07-28T03:24:25.000+0000,送付済み,決済待ち,通常,12100,2026-07-31
a00RB000027fzNvYAI,INV-0000000164,60946173,Success,,2026-07-28T03:24:26.000+0000,送付済み,決済待ち,通常,105600,2026-07-31
