Id,Name,MasterContract__c,Account__c,Month__c,ProductMaster__c,Total__c,RelatedInvoice__c,ContractPeriod__c
a03RB00001VWEogYAH,a03RB00001VWEog,a04RB00000nCmpRYAS,001RB00001VTrRuYAL,2026/07,a0CRB0000CcXZ6Q2QW,32000,a00RB000029OI8sYAG,a0BRB000012acmf2AA
a03RB00001VWEohYAH,a03RB00001VWEoh,a04RB00000nCmpSYAS,001RB00001b3qNeYAI,2026/07,a0CRB0000CcXZ6Q2QW,8000,a00RB000029dRq9YAE,a0BRB000012acmg2AA
a03RB00001WZCQ3YAP,a03RB00001WZCQ3,a04RB00000nS9IgYAK,001RB00001VTrvxYAD,2026/08,a0CRB0000CcXZ6Q2QW,8000,a00RB00002BavLRYAZ,a0BRB000013KK4u2AG
