Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ImportStatus__c,ValidationMessage__c
a0FRB00000WjSKO2A3,MFIW-000224,58573606,2026-05-20,12100,001RB00001VTtIcYAL,a04RB00000n5JdqYAE,a0BRB000012EChk2AG,,反映可能,
a0FRB00000WjSKP2A3,MFIW-000225,58573608,2026-05-20,12100,001RB00001br9KVYAY,a04RB00000n5JdrYAE,a0BRB000012EChl2AG,,反映可能,
a0FRB00000WjSKZ2A3,MFIW-000235,58573626,2026-05-20,8800,001RB00001br9KSYAY,a04RB00000n5JdtYAE,a0BRB000012EChm2AG,,反映可能,
a0FRB00000WjSKa2AN,MFIW-000236,58573627,2026-05-20,12100,001RB00001br9KgYAI,a04RB00000n5JdiYAE,a0BRB000012EChn2AG,,反映可能,
a0FRB00000WjTBV2A3,MFIW-000237,58573629,2026-05-20,48400,001RB00001br9KfYAI,a04RB00000n5JdjYAE,a0BRB000012ECho2AG,,反映可能,
a0FRB00000WjTBW2A3,MFIW-000238,58573631,2026-05-20,8800,001RB00001br9KNYAY,a04RB00000n5JdkYAE,a0BRB000012EChp2AG,,反映可能,
a0FRB00000WjTBX2A3,MFIW-000239,58573632,2026-05-20,60500,001RB00001VTqkQYAT,a04RB00000n5Je1YAE,a0BRB000012EChq2AG,,反映可能,
a0FRB00000WjTBd2AN,MFIW-000245,58573642,2026-05-20,8800,001RB00001br9KLYAY,a04RB00000n5JdlYAE,a0BRB000012EChr2AG,,反映可能,
a0FRB00000WjTBf2AN,MFIW-000247,58573647,2026-05-20,8800,001RB00001VTCYwYAP,a04RB00000n5Je2YAE,a0BRB000012EChs2AG,,反映可能,
a0FRB00000WjTBn2AN,MFIW-000255,58573663,2026-05-20,8800,001RB00001br9KQYAY,a04RB00000n5JdnYAE,a0BRB000012ECht2AG,,反映可能,
a0FRB00000WjTmb2AF,MFIW-000257,58573667,2026-05-20,8800,001RB00001br9KOYAY,a04RB00000n5JdoYAE,a0BRB000012EChu2AG,,反映可能,
a0FRB00000WjTmf2AF,MFIW-000261,58691585,2026-05-20,52800,001RB00001VcyFPYAZ,a04RB00000n5Je3YAE,a0BRB000012EChv2AG,,反映可能,
a0FRB00000WjTmg2AF,MFIW-000262,58708849,2026-05-20,17600,001RB00001br9KdYAI,a04RB00000n5JduYAE,a0BRB000012EChw2AG,,反映可能,
a0FRB00000WjTmj2AF,MFIW-000265,58710933,2026-05-20,198000,001RB00001VTCYEYA5,a04RB00000n5JdvYAE,a0BRB000012EChx2AG,,反映可能,
a0FRB00000UtKw62AF,MFIW-000116,58940950,2026-05-22,165000,001RB00001VcyFKYAZ,a04RB00000kVL7KYAW,a0BRB00000ypw5r2AA,a00RB000024Ux5jYAC,反映可能,
a0FRB00000UtM9v2AF,MFIW-000127,60979452,2026-06-19,26400,001RB00001UvdpFYAR,a04RB00000n5JdhYAE,a0BRB000012EChB2AW,a00RB000023liu7YAA,反映可能,
a0FRB00000Wifcv2AB,MFIW-000158,60861151,2026-06-20,12100,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,a0BRB0000124lpu2AA,a00RB000027flsLYAQ,反映可能,
a0FRB00000WicaJ2AR,MFIW-000164,60792923,2026-06-20,324500,001RB00001VTrvcYAD,a04RB00000n5JdpYAE,a0BRB000012EChJ2AW,,反映可能,
a0FRB00000WicaL2AR,MFIW-000166,60861149,2026-06-20,12100,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000027fzNjYAI,反映可能,
a0FRB00000WicaN2AR,MFIW-000168,60861154,2026-06-20,12100,001RB00001VTtIcYAL,a04RB00000n5JdqYAE,a0BRB000012EChK2AW,,反映可能,
a0FRB00000WicaO2AR,MFIW-000169,60861155,2026-06-20,12100,001RB00001br9KVYAY,a04RB00000n5JdrYAE,a0BRB000012EChL2AW,,反映可能,
a0FRB00000WicaP2AR,MFIW-000170,60861156,2026-06-20,12100,001RB00001VTqaKYAT,a04RB00000kUAPnYAO,a0BRB00000ynn5f2AA,a00RB000027fzNlYAI,反映可能,
a0FRB00000WicaQ2AR,MFIW-000171,60861157,2026-06-20,12100,001RB00001VTtIXYA1,a04RB00000kUAPlYAO,a0BRB00000ynn5d2AA,a00RB000027fzNmYAI,反映可能,
a0FRB00000WicaS2AR,MFIW-000173,60861159,2026-06-20,12100,001RB00001br9KKYAY,a04RB00000n5JdsYAE,a0BRB000012EChM2AW,,反映可能,
a0FRB00000WicaU2AR,MFIW-000175,60861162,2026-06-20,36300,001RB00001VTqaGYAT,a04RB00000kUAPbYAO,a0BRB00000ynn5T2AQ,a00RB000027fzNnYAI,反映可能,
a0FRB00000WicaV2AR,MFIW-000176,60861164,2026-06-20,12100,001RB00001VTqZVYA1,a04RB00000kUAPXYA4,a0BRB00000ynn5P2AQ,a00RB000027fzNoYAI,反映可能,
a0FRB00000WicaW2AR,MFIW-000177,60861166,2026-06-20,12100,001RB00001VTqZpYAL,a04RB00000kUAPVYA4,a0BRB00000ynn5N2AQ,a00RB000027fzNpYAI,反映可能,
a0FRB00000WicaX2AR,MFIW-000178,60861167,2026-06-20,8800,001RB00001br9KSYAY,a04RB00000n5JdtYAE,a0BRB000012EChN2AW,,反映可能,
