Id,Name,MasterContract__c,Month__c,PeriodStartDate__c,ProductMaster__c,Total__c,RevenueAmount__c,RelatedInvoice__c,CreatedDate
a03RB00001NswVjYAJ,東急建設 ○独特の請求書式あり_2026/03,a04RB00000kUANhYAO,2026/03,2026-03-01,,,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVkYAJ,東急建設 ○独特の請求書式あり_2026/04,a04RB00000kUANhYAO,2026/04,2026-04-01,a0CRB0000CcXZ6Q2QW,8000,8000,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVlYAJ,東急建設 ○独特の請求書式あり_2026/05,a04RB00000kUANhYAO,2026/05,2026-05-01,a0CRB0000CcXZ6Q2QW,8000,8000,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVmYAJ,東急建設 ○独特の請求書式あり_2026/06,a04RB00000kUANhYAO,2026/06,2026-06-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVnYAJ,東急建設 ○独特の請求書式あり_2026/07,a04RB00000kUANhYAO,2026/07,2026-07-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVoYAJ,東急建設 ○独特の請求書式あり_2026/08,a04RB00000kUANhYAO,2026/08,2026-08-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVpYAJ,東急建設 ○独特の請求書式あり_2026/09,a04RB00000kUANhYAO,2026/09,2026-09-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVqYAJ,東急建設 ○独特の請求書式あり_2026/10,a04RB00000kUANhYAO,2026/10,2026-10-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVrYAJ,東急建設 ○独特の請求書式あり_2026/11,a04RB00000kUANhYAO,2026/11,2026-11-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVsYAJ,東急建設 ○独特の請求書式あり_2026/12,a04RB00000kUANhYAO,2026/12,2026-12-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVtYAJ,東急建設 ○独特の請求書式あり_2027/01,a04RB00000kUANhYAO,2027/01,2027-01-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001NswVuYAJ,東急建設 ○独特の請求書式あり_2027/02,a04RB00000kUANhYAO,2027/02,2027-02-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
