"Id","Name","ParentContract__c","ParentContract__r.Name","Account__c","Account__r.Name","CheckMonth","CheckAmount","TargetPeriodStartDate__c","Billing_Date__c","TotalAmount__c","InvoiceAmount__c","Freee_Invoice_Id__c","Freee_Invoice_Number__c","Freee_Invoice_Status__c","PaymentStatus__c"
"a00RB000024Ux4PYAS","INV-0000000018","a04RB00000kUAOTYA4","CN-00000055","001RB00001VTqbXYAT","三井不動産レジデンシャルリース株式会社","2026-04-01","132000","","2026-04-09","132000","145200","56133730","INV-0000001107","送付待ち","決済待ち"
"a00RB000024Ux4sYAC","INV-0000000047","a04RB00000kUAOTYA4","CN-00000055","001RB00001VTqbXYAT","三井不動産レジデンシャルリース株式会社","2026-04-01","132000","","2026-04-14","132000","145200","56351917","INV-0000001108","送付済み","決済済み"
"a00RB000024Ux4uYAC","INV-0000000049","a04RB00000kUAOTYA4","CN-00000055","001RB00001VTqbXYAT","三井不動産レジデンシャルリース株式会社","2026-04-01","132000","","2026-04-20","132000","145200","56461105","INV-0000001110","送付待ち","決済待ち"
"a00RB000024Ux4pYAC","INV-0000000044","a04RB00000kVL7gYAG","CN-00000187","001RB00001VcyFOYAZ","神奈川県知事　黒岩　祐治","2026-03-01","1870000","","2026-03-31","1870000","2057000","55195079","INV-0000001103","送付待ち","決済待ち"
"a00RB000024Ux4qYAC","INV-0000000045","a04RB00000kVL7gYAG","CN-00000187","001RB00001VcyFOYAZ","神奈川県知事　黒岩　祐治","2026-03-01","1870000","","2026-03-31","1870000","2057000","55195797","INV-0000001104","送付済み","決済済み"
"a00RB000024Ux4rYAC","INV-0000000046","a04RB00000kVL7gYAG","CN-00000187","001RB00001VcyFOYAZ","神奈川県知事　黒岩　祐治","2026-03-01","1870000","","2026-03-31","1870000","2057000","55196219","INV-0000001105","送付待ち","決済待ち"
