"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z16QKYAZ","true","三菱商事 の取引","0.0","月","001RB00001VTqkoYAD","003RB00001NsMQdYAN","","","","","0.0","","","Negotiation","","","","",""
"a08RB00001Z16QLYAZ","true","株式会社三福管理センター の取引","726000.0","月","001RB00001VTqatYAD","003RB00001NsMQeYAN","","","","","60500.0","","","Closed Won","2025-10-20","","","",""
"a08RB00001Z16QMYAZ","true","株式会社ケイミックス の取引","105600.0","月","001RB00001VTqauYAD","","","","2025-08-28","Key person unreachable","8800.0","","","Closed Lost","2025-08-28","","","",""
"a08RB00001Z16QNYAZ","true","株式会社オーナーズ・スタイル の取引","0.0","月","001RB00001VTqj2YAD","003RB00001NsNIIYA3","","","2025-06-16","Out of scope","0.0","","","Closed Lost","2025-06-16","","","",""
"a08RB00001Z16QOYAZ","true","三井不動産レジデンシャルリース株式会社(ソリ推)の取引","1320000.0","月","001RB00001VTqbXYAT","003RB00001NsMpCYAV","","","","","110000.0","","","Closed Won","2025-09-18","","","",""
"a08RB00001Z16QPYAZ","true","TC神鋼不動産株式会社 の取引","145200.0","月","001RB00001VTqfsYAD","003RB00001NsMpuYAF","","","","","12100.0","","","Closed Won","2025-06-26","","","",""
"a08RB00001Z16QQYAZ","true","不動産業 の取引","0.0","月","001RB00001VTqkGYAT","003RB00001NsMpRYAV","","","2025-06-15","Needs mismatch","0.0","","","Closed Lost","2025-06-15","","","",""
"a08RB00001Z16QRYAZ","true","Nowhere Group株式会社 の取引","316800.0","月","001RB00001VTqlRYAT","","","","","","26400.0","","","Closed Lost","","","","",""
"a08RB00001Z16QSYAZ","true","株式会社リペア の取引","0.0","月","001RB00001VTqklYAD","003RB00001NsNJKYA3","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z16QTYAZ","true","株式会社ひかり工務店 の取引","105600.0","月","001RB00001VTqkmYAD","003RB00001NsWvpYAF","","","","","8800.0","","","Closed Won","2025-07-04","","","",""
"a08RB00001Z16QUYAZ","true","株式会社オークハウス（本社） の取引","0.0","月","001RB00001VTqkkYAD","","","","2025-10-09","Needs mismatch","0.0","","","Closed Lost","2025-10-09","","","",""
"a08RB00001Z16QVYAZ","true","中央日本土地建物株式会社 の取引","660000.0","月","001RB00001VTqkJYAT","003RB00001NsWwfYAF","","","2026-01-05","Support or track record concern","55000.0","","","Closed Lost","2026-01-05","","","",""
"a08RB00001Z16QWYAZ","true","株式会社レーベントラスト の取引","726000.0","月","001RB00001VTqbqYAD","","","","","","60500.0","2025-12-15","","Closed Won","2025-08-28","","","",""
"a08RB00001Z16QXYAZ","true","矢作建設工業株式会社 の取引","660000.0","月","001RB00001VTqlfYAD","","","","","","55000.0","","","Closed Won","2025-06-12","","","",""
"a08RB00001Z16QYYAZ","true","三井不動産レジデンシャルリース株式会社 の取引","2244000.0","月","001RB00001VTqbXYAT","003RB00001NsN9uYAF","","","2025-10-15","Competitor comparison","187000.0","","","Closed Lost","2025-10-15","","","",""
"a08RB00001Z16QZYAZ","true","東急建設株式会社 の取引","105600.0","月","001RB00001VTrseYAD","003RB00001NsWvBYAV","","","","","8800.0","2025-08-04","","ValueProposition","","","","",""
"a08RB00001Z16QaYAJ","true","一条工務店 の取引","211200.0","月","001RB00001VTqbnYAD","003RB00001NsMbLYAV","","","","","17600.0","","","Closed Won","2025-08-05","","","",""
"a08RB00001Z16QbYAJ","true","株式会社コスモスイニシア の取引","145200.0","月","001RB00001VTqgBYAT","003RB00001NsMqHYAV","","","2025-10-15","Needs mismatch","12100.0","","","Closed Lost","2025-10-15","","","",""
