"Id","Name","MasterContract__c","MasterContract__r.Name","PeriodStartDate__c","Month__c","Total__c","RevenueAmount__c","RelatedInvoice__c","RelatedInvoice__r.Name","RelatedInvoice__r.TotalAmount__c","RelatedInvoice__r.ParentContract__c"
"a03RB00001QugoTYAR","Mig_freee請求移行_株式会社アールシーコア_2026/04_INV-0000000052","a04RB00000kVL7SYAW","CN-00000173","2026-04-01","2026/04","250000","250000","a00RB000024Ux4xYAC","INV-0000000052","250000","a04RB00000kVL7SYAW"
"a03RB00001Nswi0YAB","株式会社アールシーコア_2026/05","a04RB00000kUAOoYAO","CN-00000076","2026-05-01","2026/05","150000","","a00RB000024Ux5SYAS","INV-0000000083","250000","a04RB00000kVL7SYAW"
"a03RB00001NswifYAB","株式会社アールシーコア(セキュリティオプション月額）_2026/05","a04RB00000kUAOsYAO","CN-00000080","2026-05-01","2026/05","100000","","a00RB000024Ux5SYAS","INV-0000000083","250000","a04RB00000kVL7SYAW"
"a03RB00001QugoUYAR","Mig_freee請求移行_株式会社アールシーコア_2026/05_INV-0000000083","a04RB00000kVL7SYAW","CN-00000173","2026-05-01","2026/05","250000","250000","a00RB000024Ux5SYAS","INV-0000000083","250000","a04RB00000kVL7SYAW"
"a03RB00001NswjCYAR","株式会社サンケイビル_2026/04","a04RB00000kUAP2YAO","CN-00000090","2026-04-01","2026/04","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjDYAR","株式会社サンケイビル_2026/05","a04RB00000kUAP2YAO","CN-00000090","2026-05-01","2026/05","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjEYAR","株式会社サンケイビル_2026/06","a04RB00000kUAP2YAO","CN-00000090","2026-06-01","2026/06","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjFYAR","株式会社サンケイビル_2026/07","a04RB00000kUAP2YAO","CN-00000090","2026-07-01","2026/07","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjGYAR","株式会社サンケイビル_2026/08","a04RB00000kUAP2YAO","CN-00000090","2026-08-01","2026/08","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjHYAR","株式会社サンケイビル_2026/09","a04RB00000kUAP2YAO","CN-00000090","2026-09-01","2026/09","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjIYAR","株式会社サンケイビル_2026/10","a04RB00000kUAP2YAO","CN-00000090","2026-10-01","2026/10","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjJYAR","株式会社サンケイビル_2026/11","a04RB00000kUAP2YAO","CN-00000090","2026-11-01","2026/11","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjKYAR","株式会社サンケイビル_2026/12","a04RB00000kUAP2YAO","CN-00000090","2026-12-01","2026/12","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjLYAR","株式会社サンケイビル_2027/01","a04RB00000kUAP2YAO","CN-00000090","2027-01-01","2027/01","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjMYAR","株式会社サンケイビル_2027/02","a04RB00000kUAP2YAO","CN-00000090","2027-02-01","2027/02","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswjNYAR","株式会社サンケイビル_2027/03","a04RB00000kUAP2YAO","CN-00000090","2027-03-01","2027/03","70000","","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001QugocYAB","Mig_freee請求移行_株式会社サンケイビル_2026/03_INV-0000000004","a04RB00000kVL7WYAW","CN-00000177","2026-03-01","2026/03","780000","780000","a00RB000024Ux4BYAS","INV-0000000004","780000","a04RB00000kVL7WYAW"
"a03RB00001NswkdYAB","株式会社エリオクリエイト_2026/06","a04RB00000kUAPNYA4","CN-00000111","2026-06-01","2026/06","96000","","a00RB000024Vf1zYAC","INV-0000000104","96000","a04RB00000kVL7UYAW"
"a03RB00001QugoXYAR","Mig_freee請求移行_株式会社エリオクリエイト_2026/05_INV-0000000104","a04RB00000kVL7UYAW","CN-00000175","2026-05-01","2026/05","96000","96000","a00RB000024Vf1zYAC","INV-0000000104","96000","a04RB00000kVL7UYAW"
