"Id","Name","MasterContract__c","MasterContract__r.Name","Account__c","Account__r.Name","PeriodStartDate__c","Month__c","ContractYearMonth__c","CheckAmount","Total__c","RevenueAmount__c","RelatedInvoice__c","RelatedInvoice__r.Name","RelatedInvoice__r.TotalAmount__c","RelatedInvoice__r.ParentContract__c","ProductMaster__c","ProductMaster__r.Name"
"a03RB00001QugopYAB","Mig_freee請求移行_神奈川県知事　黒岩　祐治_2026/03_INV-0000000044","a04RB00000kVL7gYAG","CN-00000187","001RB00001VcyFOYAZ","神奈川県知事　黒岩　祐治","2026-03-01","2026/03","2026/03","1870000","1870000","1870000","a00RB000024Ux4pYAC","INV-0000000044","1870000","a04RB00000kVL7gYAG","a0CRB0000CcXZ6x2QG","受託開発"
"a03RB00001QugoqYAB","Mig_freee請求移行_神奈川県知事　黒岩　祐治_2026/03_INV-0000000045","a04RB00000kVL7gYAG","CN-00000187","001RB00001VcyFOYAZ","神奈川県知事　黒岩　祐治","2026-03-01","2026/03","2026/03","1870000","1870000","1870000","a00RB000024Ux4qYAC","INV-0000000045","1870000","a04RB00000kVL7gYAG","a0CRB0000CcXZ6x2QG","受託開発"
"a03RB00001QugorYAB","Mig_freee請求移行_神奈川県知事　黒岩　祐治_2026/03_INV-0000000046","a04RB00000kVL7gYAG","CN-00000187","001RB00001VcyFOYAZ","神奈川県知事　黒岩　祐治","2026-03-01","2026/03","2026/03","1870000","1870000","1870000","a00RB000024Ux4rYAC","INV-0000000046","1870000","a04RB00000kVL7gYAG","a0CRB0000CcXZ6x2QG","受託開発"
