"sf__Id","sf__Created",Name,MasterContract__c,Month__c,PeopleNumber__c,CheckStatus__c,Total__c,Account__c,Payment__c,Plan__c,ContractYearMonth__c,ARR_Target__c,ContractPeriod__c,InitialFee__c,InvoiceStatus__c,MRR_Target__c,PeriodEndDate__c,PeriodStartDate__c,RevenueAmount__c,ProductMaster__c
"a03RB00001NswUbYAJ","true","サンフロンティア不動産株式会社_2026/02","a04RB00000kUANdYAO","2026/02","8.0","送付","64000.0","001RB00001VTqlYYAT","請求書","Pro","2026/02","","a0BRB00000ynb5Y2AQ","","","","","2026-02-01","",""
"a03RB00001NswUcYAJ","true","サンフロンティア不動産株式会社_2026/03","a04RB00000kUANdYAO","2026/03","8.0","送付","64000.0","001RB00001VTqlYYAT","請求書","Pro","2026/03","","a0BRB00000ynb5Y2AQ","","","","","2026-03-01","",""
"a03RB00001NswUdYAJ","true","サンフロンティア不動産株式会社_2026/04","a04RB00000kUANdYAO","2026/04","8.0","送付","64000.0","001RB00001VTqlYYAT","請求書","Pro","2026/04","","a0BRB00000ynb5Y2AQ","","","","","2026-04-01","",""
"a03RB00001NswUeYAJ","true","サンフロンティア不動産株式会社_2026/05","a04RB00000kUANdYAO","2026/05","8.0","","64000.0","001RB00001VTqlYYAT","請求書","Pro","2026/05","","a0BRB00000ynb5Y2AQ","","","","","2026-05-01","",""
"a03RB00001NswUfYAJ","true","東急不動産株式会社_2024/08","a04RB00000kUANeYAO","2024/08","24.0","入金","264000.0","001RB00001VTqUVYA1","請求書","EN","2024/08","","a0BRB00000ynb5Z2AQ","","","","","2024-08-01","",""
"a03RB00001NswUgYAJ","true","東急不動産株式会社_2024/09","a04RB00000kUANeYAO","2024/09","24.0","入金","264000.0","001RB00001VTqUVYA1","請求書","EN","2024/09","","a0BRB00000ynb5Z2AQ","","","","","2024-09-01","",""
"a03RB00001NswUhYAJ","true","東急不動産株式会社_2024/10","a04RB00000kUANeYAO","2024/10","24.0","入金","264000.0","001RB00001VTqUVYA1","請求書","EN","2024/10","","a0BRB00000ynb5Z2AQ","","","","","2024-10-01","",""
"a03RB00001NswUiYAJ","true","東急不動産株式会社_2024/11","a04RB00000kUANeYAO","2024/11","14.0","入金","154000.0","001RB00001VTqUVYA1","請求書","EN","2024/11","","a0BRB00000ynb5Z2AQ","","","","","2024-11-01","",""
"a03RB00001NswUjYAJ","true","東急不動産株式会社_2024/12","a04RB00000kUANeYAO","2024/12","21.0","入金","231000.0","001RB00001VTqUVYA1","請求書","EN","2024/12","","a0BRB00000ynb5Z2AQ","","","","","2024-12-01","",""
"a03RB00001NswUkYAJ","true","東急不動産株式会社_2025/01","a04RB00000kUANeYAO","2025/01","21.0","入金","231000.0","001RB00001VTqUVYA1","請求書","EN","2025/01","","a0BRB00000ynb5Z2AQ","","","","","2025-01-01","",""
"a03RB00001NswUlYAJ","true","東急不動産株式会社_2025/02","a04RB00000kUANeYAO","2025/02","21.0","入金","231000.0","001RB00001VTqUVYA1","請求書","EN","2025/02","","a0BRB00000ynb5Z2AQ","","","","","2025-02-01","",""
"a03RB00001NswUmYAJ","true","東急不動産株式会社_2025/03","a04RB00000kUANeYAO","2025/03","21.0","入金","231000.0","001RB00001VTqUVYA1","請求書","EN","2025/03","","a0BRB00000ynb5Z2AQ","","","","","2025-03-01","",""
"a03RB00001NswUnYAJ","true","東急不動産株式会社_2025/04","a04RB00000kUANeYAO","2025/04","19.0","入金","209000.0","001RB00001VTqUVYA1","請求書","EN","2025/04","","a0BRB00000ynb5Z2AQ","","","","","2025-04-01","",""
"a03RB00001NswUoYAJ","true","東急不動産株式会社_2025/05","a04RB00000kUANeYAO","2025/05","16.0","送付","176000.0","001RB00001VTqUVYA1","請求書","EN","2025/05","","a0BRB00000ynb5Z2AQ","","","","","2025-05-01","",""
"a03RB00001NswUpYAJ","true","東急不動産株式会社_2025/06","a04RB00000kUANeYAO","2025/06","16.0","送付","176000.0","001RB00001VTqUVYA1","請求書","EN","2025/06","","a0BRB00000ynb5Z2AQ","","","","","2025-06-01","",""
"a03RB00001NswUqYAJ","true","東急不動産株式会社_2025/07","a04RB00000kUANeYAO","2025/07","16.0","送付","176000.0","001RB00001VTqUVYA1","請求書","EN","2025/07","","a0BRB00000ynb5Z2AQ","","","","","2025-07-01","",""
"a03RB00001NswUrYAJ","true","東急不動産株式会社_2025/08","a04RB00000kUANeYAO","2025/08","17.0","送付","187000.0","001RB00001VTqUVYA1","請求書","EN","2025/08","","a0BRB00000ynb5Z2AQ","","","","","2025-08-01","",""
