Id,Name,FreeeInvoiceId__c,InvoiceAmount__c,ImportStatus__c,CreatedInvoice__c
a0FRB00000WhTPX2A3,MFIW-000191,60861183,12100,反映可能,a00RB000027fzNXYAY
a0FRB00000WhTPY2A3,MFIW-000192,60861184,60500,反映可能,a00RB000027fzNYYAY
a0FRB00000WhTPZ2A3,MFIW-000193,60861185,12100,反映可能,a00RB000027fzNZYAY
a0FRB00000WhTPa2AN,MFIW-000194,60861186,12100,反映可能,a00RB000027fzNaYAI
a0FRB00000WhTPb2AN,MFIW-000195,60861187,12100,反映可能,a00RB000027fzNbYAI
a0FRB00000WhTPc2AN,MFIW-000196,60861188,8800,反映可能,a00RB00002B4i3IYAR
a0FRB00000WhTPd2AN,MFIW-000197,60861189,60500,反映可能,a00RB000027fzNcYAI
a0FRB00000WhTPe2AN,MFIW-000198,60861191,8800,反映可能,a00RB00002B4i3JYAR
a0FRB00000WihDJ2AZ,MFIW-000199,60861193,60500,反映可能,a00RB000027fzNqYAI
a0FRB00000WihDK2AZ,MFIW-000200,60899966,70400,反映可能,a00RB000027fzNrYAI
a0FRB00000WihDL2AZ,MFIW-000201,60900081,605000,反映可能,a00RB000027fzNsYAI
a0FRB00000WihDM2AZ,MFIW-000202,60901483,14080,反映可能,a00RB000027fzNtYAI
a0FRB00000WihDN2AZ,MFIW-000203,60904124,17600,反映可能,a00RB00002B4i3OYAR
a0FRB00000WihDO2AZ,MFIW-000204,60905395,198000,反映可能,a00RB00002B4i3PYAR
a0FRB00000WihDP2AZ,MFIW-000205,60905677,8800,反映可能,a00RB000027fzNuYAI
a0FRB00000WihDR2AZ,MFIW-000207,60907136,33000,反映可能,a00RB00002B4i3QYAR
a0FRB00000WihDT2AZ,MFIW-000209,60946048,8800,反映可能,a00RB00002B4i3RYAR
a0FRB00000WihDU2AZ,MFIW-000210,60946173,105600,反映可能,a00RB000027fzNvYAI
a0FRB00000WihDW2AZ,MFIW-000212,60952846,165000,反映可能,a00RB00002B4i3SYAR
a0FRB00000WihDX2AZ,MFIW-000213,60953208,84480,反映可能,a00RB000027fzNwYAI
a0FRB00000WihDY2AZ,MFIW-000214,60953422,82500,反映可能,a00RB000027fzNxYAI
a0FRB00000WihDZ2AZ,MFIW-000215,60953721,52800,反映可能,a00RB00002B4i3TYAR
a0FRB00000Ypg4s2AB,MFIW-000375,63077917,145200,反映可能,a00RB00002B4i4BYAR
a0FRB00000Ypg4t2AB,MFIW-000376,63077925,12100,反映可能,a00RB00002AyE6JYAV
a0FRB00000Ypg4w2AB,MFIW-000379,63077933,17600,反映可能,a00RB00002Am2BPYAZ
a0FRB00000Ypg4x2AB,MFIW-000380,63077936,60500,反映可能,a00RB00002Am2BQYAZ
a0FRB00000Ypg4y2AB,MFIW-000381,63077938,26400,反映可能,a00RB00002B4i4DYAR
a0FRB00000Ypg4z2AB,MFIW-000382,63077941,8800,反映可能,a00RB00002Am2BRYAZ
a0FRB00000Ypg502AB,MFIW-000383,63077943,60500,反映可能,a00RB00002Am2BSYAZ
a0FRB00000Ypg512AB,MFIW-000384,63077945,12100,反映可能,a00RB00002AyE6KYAV
