Id,Name,MasterContract__c,MasterContract__r.Status__c,ContractPeriod__c,Month__c,ProductMaster__c,RevenueAmount__c,MRR_Target__c,PeriodStartDate__c,PeriodEndDate__c,CreatedDate
a03RB00001STmGrYAL,株式会社フロンティアコンサルティング_2026/08,a04RB00000kUANiYAO,Activated,a0BRB000010uujo2AA,2026/08,a0CRB0000CcXZ6T2QW,550000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGsYAL,前田工務店_2026/08,a04RB00000kUANjYAO,Activated,a0BRB000010uujp2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGtYAL,ムゲンエステート_2026/08,a04RB00000kUANmYAO,Activated,a0BRB000010uujq2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGuYAL,studio55_2026/08,a04RB00000kUANnYAO,Activated,a0BRB000010uujr2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGvYAL,東急リゾーツ＆ステイ_2026/08,a04RB00000kUANqYAO,Activated,a0BRB000010uujs2AA,2026/08,,44000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGwYAL,株式会社TRIAD_2026/08,a04RB00000kUANwYAO,Activated,a0BRB000010uujv2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGxYAL,九州旅客鉄道株式会社　工事部施設課_2026/08,a04RB00000kUANxYAO,Activated,a0BRB000010uujw2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGyYAL,戸田建設(設計部:月額)_2026/08,a04RB00000kUAO0YAO,Activated,a0BRB000010uujx2AA,2026/08,,55000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGzYAL,47内装株式会社_2026/08,a04RB00000kUAO1YAO,Activated,a0BRB000010uujy2AA,2026/08,,55000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH0YAL,ANAスカイビルサービス株式会社　※郵送希望_2026/08,a04RB00000kUAO2YAO,Activated,a0BRB000010uujz2AA,2026/08,,16000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH1YAL,吉村紳　一級建築士事務所_2026/08,a04RB00000kUAO7YAO,Activated,a0BRB000010uuk02AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH2YAL,株式会社デザインアーク_2026/08,a04RB00000kUAOAYA4,Activated,a0BRB000010uuk12AA,2026/08,a0CRB0000CcXZ6V2QW,55000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH3YAL,株式会社アーキテクト・ディベロッパー（5月1日より帝国不動産株式会社）_2026/08,a04RB00000kUAOEYA4,Activated,a0BRB000010uuk22AA,2026/08,a0CRB0000CcXZ6Q2QW,48000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH4YAL,野原グループ株式会社_2026/08,a04RB00000kUAOFYA4,Activated,a0BRB000010uuk32AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH5YAL,九州旅客鉄道株式会社　博多設備区_2026/08,a04RB00000kUAOIYA4,Activated,a0BRB000010uuk42AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH6YAL,アイリスオーヤマ（ストアデザイン部）_2026/08,a04RB00000kUAOKYA4,Activated,a0BRB000010uuk52AA,2026/08,,44000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH7YAL,アイリスオーヤマ（空間デザイン部）_2026/08,a04RB00000kUAOLYA4,Activated,a0BRB000010uuk62AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH8YAL,九州旅客鉄道株式会社　開発工事部_2026/08,a04RB00000kUAONYA4,Activated,a0BRB000010uuk72AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmH9YAL,JOA株式会社_2026/08,a04RB00000kUAORYA4,Activated,a0BRB000010uuk92AA,2026/08,,55000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHAYA1,三井不動産レジデンシャルリース株式会社(ソリューション推進部)_2026/08,a04RB00000kUAOTYA4,Activated,a0BRB000010uukA2AQ,2026/08,a0CRB0000CcXZ6T2QW,132000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHBYA1,株式会社LIXIL住宅研究所 リノベーション推進室_2026/08,a04RB00000kUAOUYA4,Activated,a0BRB000010uukB2AQ,2026/08,a0CRB0000CcXZ6d2QG,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHCYA1,株式会社LIXIL住宅研究所 リノベーション推進室_2026/08,a04RB00000kUAOUYA4,Activated,a0BRB000010uukB2AQ,2026/08,a0CRB0000CcXZ6x2QG,630000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHDYA1,三菱地所株式会社(DX推進部)_2026/08,a04RB00000kUAOVYA4,Activated,a0BRB000010uukC2AQ,2026/08,,16000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHEYA1,生和コーポレーション株式会社_2026/08,a04RB00000kUAOdYAO,Activated,a0BRB000010uukE2AQ,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHFYA1,株式会社三越伊勢丹プロパティデザイン_2026/08,a04RB00000kUAOfYAO,Activated,a0BRB000010uukF2AQ,2026/08,a0CRB0000CcXZ6Q2QW,48000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHGYA1,豊通ファシリティーズ株式会社　建築・設計部_2026/08,a04RB00000kUAOgYAO,Activated,a0BRB000010uukG2AQ,2026/08,a0CRB0000CcXZ6Q2QW,16000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHHYA1,株式会社アールシーコア_2026/08,a04RB00000kUAOoYAO,Activated,a0BRB000010uukJ2AQ,2026/08,,150000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHIYA1,株式会社錢高組_2026/08,a04RB00000kUAOpYAO,Activated,a0BRB000010uukK2AQ,2026/08,a0CRB0000CcXZ6Q2QW,24000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHJYA1,株式会社アールシーコア(セキュリティオプション月額）_2026/08,a04RB00000kUAOsYAO,Activated,a0BRB000010uukL2AQ,2026/08,,100000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHKYA1,Phantom株式会社_2026/08,a04RB00000kUAOtYAO,Activated,a0BRB000010uukM2AQ,2026/08,a0CRB0000CcXZ6Q2QW,16000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHLYA1,野村不動産株式会社_2026/08,a04RB00000kUAOvYAO,Activated,a0BRB000010uukN2AQ,2026/08,,150000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHMYA1,野村不動産株式会社（シングルサインオン分）_2026/08,a04RB00000kUAOwYAO,Activated,a0BRB000010uukO2AQ,2026/08,,30000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHNYA1,花菱不動産株式会社_2026/08,a04RB00000kUAOyYAO,Activated,a0BRB000010uukP2AQ,2026/08,a0CRB0000CcXZ6Q2QW,16000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHOYA1,コンチネンタルホーム株式会社_2026/08,a04RB00000kUAOzYAO,Expired,a0BRB000010uukQ2AQ,2026/08,a0CRB0000CcXZ6Q2QW,24000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHPYA1,柏井建設株式会社_2026/08,a04RB00000kUAP0YAO,Activated,a0BRB000010uukR2AQ,2026/08,a0CRB0000CcXZ6V2QW,75000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHQYA1,株式会社紀伊國屋書店_2026/08,a04RB00000kUAP1YAO,Activated,a0BRB000010uukS2AQ,2026/08,,40000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHRYA1,三井住友建設株式会社_2026/08,a04RB00000kUAP3YAO,Activated,a0BRB000010uukT2AQ,2026/08,a0CRB0000CcXZ6Q2QW,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHSYA1,Asplead株式会社_2026/08,a04RB00000kUAP4YAO,Activated,a0BRB000010uukU2AQ,2026/08,a0CRB0000CcXZ6Q2QW,16000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHTYA1,スタイルテック総合計画_2026/08,a04RB00000kUAP5YAO,Activated,a0BRB000010uukV2AQ,2026/08,a0CRB0000CcXZ6V2QW,75000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHUYA1,株式会社ecoaハウス_2026/08,a04RB00000kUAP6YAO,Activated,a0BRB000010uukW2AQ,2026/08,a0CRB0000CcXZ6V2QW,75000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHVYA1,株式会社ドムコス_2026/08,a04RB00000kUAP7YAO,Activated,a0BRB000010uukX2AQ,2026/08,a0CRB0000CcXZ6Q2QW,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHWYA1,近鉄不動産_2026/08,a04RB00000kUAP8YAO,Activated,a0BRB000010uukY2AQ,2026/08,,180000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHXYA1,近鉄不動産(セキュリティオプション月額）_2026/08,a04RB00000kUAP9YAO,Activated,a0BRB000010uukZ2AQ,2026/08,,100000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHYYA1,フィールド・デザイン・アーキテクツ一級建築士事務所_2026/08,a04RB00000kUAPAYA4,Activated,a0BRB000010uuka2AA,2026/08,a0CRB0000CcXZ6Q2QW,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHZYA1,株式会社ルミネ_2026/08,a04RB00000kUAPBYA4,Activated,a0BRB000010uukb2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHaYAL,株式会社安井建築設計事務所_2026/08,a04RB00000kUAPEYA4,Activated,a0BRB000010uukc2AA,2026/08,a0CRB0000CcXZ6Q2QW,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHbYAL,株式会社ジョイフル本田（Pro１アカウント）_2026/08,a04RB00000kUAPFYA4,Activated,a0BRB000010uukd2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHcYAL,西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部_2026/08,a04RB00000kUAPHYA4,Activated,a0BRB000010uuke2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHdYAL,株式会社乃村工藝社  カルチャー・コミュニケーション推進本部_2026/08,a04RB00000kUAPIYA4,Activated,a0BRB000010uukf2AA,2026/08,,32000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHeYAL,株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所_2026/08,a04RB00000kUAPKYA4,Activated,a0BRB000010uukg2AA,2026/08,,30000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHfYAL,NTTファシリティーズ株式会社_2026/08,a04RB00000kUAPLYA4,Activated,a0BRB000010uukh2AA,2026/08,,1500000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHgYAL,合同会社小島屋_2026/08,a04RB00000kUAPMYA4,Activated,a0BRB000010uuki2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHhYAL,ハウスプラザ_2026/08,a04RB00000kUAPVYA4,Activated,a0BRB000010uukj2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHiYAL,株式会社イーグランド_2026/08,a04RB00000kUAPXYA4,Activated,a0BRB000010uukk2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHjYAL,株式会社穂積住宅_2026/08,a04RB00000kUAPbYAO,Activated,a0BRB000010uukl2AA,2026/08,,33000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHkYAL,リアルティホールディングス株式会社_2026/08,a04RB00000kUAPdYAO,解約,a0BRB000010uukm2AA,2026/08,,159500,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHlYAL,株式会社ヨコハマ地所_2026/08,a04RB00000kUAPgYAO,Activated,a0BRB000010uukn2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
