"Id","Name","Account","Payment","Start","End","ARR","MonthlyLines","MonthlySums","Invoices","InvoiceTotals"
"a04RB00000kUANnYAO","CN-00000013","001RB00001VTrOjYAL","Invoice","2024-09-01","","","9","","0",""
"a04RB00000n5JeAYAU","CN-00000228","001RB00001VTrrHYAT","Invoice","2026-07-01","","","2","75000","1","75000"
"a04RB00000nA94DYAS","CN-00000230","001RB00001VTqidYAD","Invoice","2026-06-29","","","0","","1","0"
"a04RB00000nCmpRYAS","CN-00000233","001RB00001VTrRuYAL","Invoice","2026-07-01","","","2","32000","0",""
"a04RB00000nCmpSYAS","CN-00000234","001RB00001b3qNeYAI","Invoice","2026-07-01","","","2","8000","0",""
"a04RB00000nRI1RYAW","CN-00000240","001RB00001VTqlfYAD","","2026-08-01","","","0","","0",""
"a04RB00000nS9IfYAK","CN-00000242","001RB00001VTrqOYAT","Invoice","2026-07-01","","","2","8000","1","8000"
"a04RB00000nS9IgYAK","CN-00000243","001RB00001VTrvxYAD","Invoice","2026-08-01","","","1","8000","0",""
