Id,Name,Account__c,Billing_Date__c,InvoiceAmount__c,TaxAmount__c,AmountWithTax__c,Freee_Invoice_Id__c
a00RB000024Ux4IYAS,INV-0000000011,001RB00001VTqkoYAD,2026-03-02,1837000,167000,1837000,53100155
a00RB000024Ux4qYAC,INV-0000000045,001RB00001VcyFOYAZ,2026-03-31,2057000,187000,2057000,55195797
