Id,Invoice__c,Description__c,Unit_Price__c,Quantity__c,TaxAmount__c,AmountWithTax__c,Freee_Line_Id__c
a01RB00001VdyexYAB,a00RB000024Ux4IYAS,最終納品費,1670000,1,167000,1837000,236096788
a01RB00001VdyfpYAB,a00RB000024Ux4qYAC,AI北斎_ビジュアル作成費用,140000,3,42000,462000,244981930
a01RB00001VdyfqYAB,a00RB000024Ux4qYAC,額装,50000,3,15000,165000,244981931
a01RB00001VdyfrYAB,a00RB000024Ux4qYAC,北斎ディレクション費用,450000,1,45000,495000,244981932
a01RB00001VdyfsYAB,a00RB000024Ux4qYAC,事務局運営費用,850000,1,85000,935000,244981933
