"Object","Operation","Csv","Rows","CsvColumns","UnmappedColumns"
"Account","Insert","Account.insert.csv","7619","65","IsDeleted;MasterRecordId;BillingStreet;BillingCity;BillingState;BillingPostalCode;BillingCountry;BillingLatitude;BillingLongitude;BillingGeocodeAccuracy;ShippingStreet;ShippingCity;ShippingState;ShippingPostalCode;ShippingCountry;ShippingLatitude;ShippingLongitude;ShippingGeocodeAccuracy;PhotoUrl;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;LastActivityDate;LastViewedDate;LastReferencedDate;JigsawCompanyId"
"Contact","Insert","Contact.insert.csv","17756","67","IsDeleted;MasterRecordId;LastName;FirstName;Salutation;OtherStreet;OtherCity;OtherState;OtherPostalCode;OtherCountry;OtherLatitude;OtherLongitude;OtherGeocodeAccuracy;MailingStreet;MailingCity;MailingState;MailingPostalCode;MailingCountry;MailingLatitude;MailingLongitude;MailingGeocodeAccuracy;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;LastActivityDate;LastViewedDate;LastReferencedDate;EmailBouncedReason;EmailBouncedDate;IsEmailBounced;PhotoUrl;JigsawContactId;IsPriorityRecord"
"ProductMaster__c","Insert","ProductMaster__c.insert.csv","35","12","OwnerId;IsDeleted;Name;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;LastActivityDate;LastViewedDate;LastReferencedDate"
"Contract__c","Insert","Contract__c.insert.csv","161","28","OwnerId;IsDeleted;Name;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;LastActivityDate;LastViewedDate;LastReferencedDate"
"ContractPeriod__c","Insert","ContractPeriod__c.insert.csv","162","10","IsDeleted;Name;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;LastActivityDate;LastViewedDate;LastReferencedDate"
"ContractLineItem__c","Insert","ContractLineItem__c.insert.csv","1514","22","IsDeleted;Name;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;LastActivityDate;LastViewedDate;LastReferencedDate"
"Opportunity__c","Insert","Opportunity__c.insert.csv","483","24","OwnerId;IsDeleted;Name;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;LastActivityDate;LastViewedDate;LastReferencedDate"
