"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","ValidationMessage__c"
"a0FRB00000WjTBb2AN","MFIW-000243","58573639","INV-0000001245","ANAスカイビルサービス株式会社","2026-05-20","17600","反映可能","001RB00001VTCYFYA5","a04RB00000kUAO2YAO","a0BRB00000ynb5x2AA",""
"a0FRB00000WjTBc2AN","MFIW-000244","58573640","INV-0000001246","47内装株式会社","2026-05-20","60500","反映可能","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA",""
"a0FRB00000WjTBe2AN","MFIW-000246","58573644","INV-0000001248","株式会社TRIAD","2026-05-20","8800","反映可能","001RB00001VTqUoYAL","a04RB00000kUANwYAO","a0BRB00000ynb5r2AA",""
"a0FRB00000WjTBh2AN","MFIW-000249","58573650","INV-0000001251","株式会社ムゲンエステート","2026-05-20","8800","反映可能","001RB00001VTqlOYAT","a04RB00000kUANmYAO","a0BRB00000ynb5h2AA",""
"a0FRB00000WjTBi2AN","MFIW-000250","58573652","INV-0000001252","東急株式会社","2026-05-20","12100","反映可能","001RB00001VTrs0YAD","a04RB00000kUANgYAO","a0BRB00000ynb5b2AA",""
"a0FRB00000WjTBj2AN","MFIW-000251","58573654","INV-0000001253","戸田建設株式会社","2026-05-20","60500","反映可能","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA",""
"a0FRB00000WjTBo2AN","MFIW-000256","58573666","INV-0000001258","JOA株式会社","2026-05-20","60500","反映可能","001RB00001VTqmBYAT","a04RB00000kUAORYA4","a0BRB00000ynb6M2AQ",""
"a0FRB00000WjTmc2AF","MFIW-000258","58573670","INV-0000001260","株式会社レーベントラスト","2026-05-20","60500","反映可能","001RB00001VTqbqYAD","a04RB00000kUAQ6YAO","a0BRB00000ynn5y2AA",""
"a0FRB00000WjTmh2AF","MFIW-000263","58709445","INV-0000001268","三菱地所レジデンス株式会社","2026-05-20","17600","反映可能","001RB00001VTqf7YAD","a04RB00000kUAOjYAO","a0BRB00000ynb6e2AA",""
"a0FRB00000WjTmk2AF","MFIW-000266","58711258","INV-0000001271","株式会社ドムコス","2026-05-20","8800","反映可能","001RB00001VTrqdYAD","a04RB00000kUAP7YAO","a0BRB00000ynb722AA",""
