AccountId,AccountName,Contract,ContractName,Status,Start,End,MRR,Source,MonthlyRows,Invoices,Periods,EvidencePriority,ReviewReason,IntegrityStatus
001RB00001VTrOlYAL,九州旅客鉄道 株式会社,CN-00000023,九州旅客鉄道株式会社　工事部施設課,Activated,2024-12-01,,8000,,21,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrOlYAL,九州旅客鉄道 株式会社,CN-00000044,九州旅客鉄道株式会社　博多設備区,Activated,2025-05-01,,8000,,16,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrOlYAL,九州旅客鉄道 株式会社,CN-00000049,九州旅客鉄道株式会社　開発工事部,Activated,2025-06-01,,8000,,15,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqlfYAD,矢作建設工業株式会社,CN-00000240,矢作建設_契約変更,Activated,2026-08-01,2027-07-31,,Sales,1,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqkwYAD,アイリスオーヤマ株式会社,CN-00000046,アイリスオーヤマ（ストアデザイン部）,Activated,2025-06-01,,44000,,15,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqkwYAD,アイリスオーヤマ株式会社,CN-00000047,アイリスオーヤマ（空間デザイン部）,Activated,2025-06-01,,11000,,15,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrHVYA1,株式会社 JR東日本建築設計,CN-00000050,株式会社JR東日本建築設計,Activated,2025-07-01,,8000,,21,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqgBYAT,株式会社コスモスイニシア,CN-00000059,株式会社コスモスイニシア　建築本部,Activated,2025-10-01,,98000,,18,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqgBYAT,株式会社コスモスイニシア,CN-00000060,株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）,Activated,2026-04-01,2027-03-31,70000,,12,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqgBYAT,株式会社コスモスイニシア,CN-00000061,株式会社コスモスイニシア　事業本部（流通事業）,Activated,2025-10-01,2027-03-31,42000,,18,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqgBYAT,株式会社コスモスイニシア,CN-00000062,株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）,Activated,2026-04-01,2027-03-31,30000,,12,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqnMYAT,株式会社石勝エクステリア,CN-00000079,株式会社石勝エクステリア(シングルサインオン分）,Activated,2025-10-01,2027-03-31,30000,,18,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrwFYAT,株式会社フジタ,CN-00000100,株式会社フジタ　BIM推進部,Activated,2026-04-01,2027-03-31,42000,,12,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrwFYAT,株式会社フジタ,CN-00000101,株式会社フジタ　設計統括部,Activated,2026-04-01,2027-03-31,98000,,12,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqxQYAT,株式会社アールシーコア,CN-00000076,株式会社アールシーコア,Activated,2026-01-01,,150000,,7,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqxQYAT,株式会社アールシーコア,CN-00000080,株式会社アールシーコア(セキュリティオプション月額）,Activated,2026-01-01,,100000,,8,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTCYEYA5,野村不動産株式会社,CN-00000083,野村不動産株式会社,Activated,2026-04-01,,150000,,5,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTCYEYA5,野村不動産株式会社,CN-00000084,野村不動産株式会社（シングルサインオン分）,Activated,2026-04-01,,30000,,5,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrvcYAD,近鉄不動産株式会社,CN-00000096,近鉄不動産,Activated,2026-04-01,,180000,,5,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrvcYAD,近鉄不動産株式会社,CN-00000097,近鉄不動産(セキュリティオプション月額）,Activated,2026-04-01,,100000,,5,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrRuYAL,株式会社サンテン・コーポレーション,CN-00000233,株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約,Activated,2026-07-01,,32000,FreeeImport,2,0,2,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrvxYAD,清水建設 株式会社,CN-00000243,清水建設 株式会社 Rendery Proプラン Freee自動請求契約,Activated,2026-08-01,,8000,FreeeImport,1,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTqWFYA1,森ビル株式会社,CN-00000251,森ビル株式会社 Rendery Proプラン Freee自動請求契約,Activated,2026-08-01,,,FreeeImport,1,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrqmYAD,センコー産業株式会社,CN-00000252,センコー産業株式会社 Rendery Proプラン Freee自動請求契約,Activated,2026-08-01,,,FreeeImport,1,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001VTrFpYAL,株式会社スタジオ・ノア,CN-00000259,株式会社スタジオ・ノア Rendery Proプラン Freee自動請求契約,Activated,2026-08-01,,,FreeeImport,1,0,1,P0,月次あり|期間あり,要確認,請求なし
001RB00001eIu0zYAC,株式会社池田工務店,CN-00000260,株式会社池田工務店 Rendery Proプラン Freee自動請求契約,Activated,2026-08-01,,,FreeeImport,1,0,1,P0,月次あり|期間あり,要確認,請求なし
