Month,Contract,ContractName,Product,Count,MRRRows,MRRSum,Amounts,SourceIds,InvoiceIds,RecordIds
2026-06,CN-00000089,株式会社紀伊國屋書店,Rendery Proプラン,2,2,80000,40000|40000,None|None,a00RB00002Am2BbYAJ|a00RB00002Am2BbYAJ,a03RB00001RIRFCYA5|a03RB00001Uj0s4YAB
2026-06,CN-00000099,株式会社ルミネ,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BdYAJ|a00RB00002Am2BdYAJ,a03RB00001RIRFFYA5|a03RB00001Uj0s5YAB
2026-06,CN-00000105,西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BeYAJ|a00RB00002Am2BeYAJ,a03RB00001RIRFHYA5|a03RB00001Uj0s6YAB
2026-07,CN-00000194,株式会社野村工務店（大塚商会）_2026-07-01,[代理販売20%] Rendery Enterpriseプラン,12,12,1440000,120000|120000|120000|120000|120000|120000|120000|120000|120000|120000|120000|120000,a09RB000011eAdtYAE|a09RB000011eBbZYAU|a09RB000011eBgPYAU|a09RB000011eBq5YAE|a09RB000011eBuvYAE|a09RB000011e0hoYAA|a09RB000011cJ44YAE|a09RB000011eC1NYAU|a09RB000011dasAYAQ|a09RB000011eC7pYAE|a09RB000011eCB3YAM|a09RB000011eCpNYAU,a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0|a00RB000029DnWEYA0,a03RB00001T6sPWYAZ|a03RB00001T6sPXYAZ|a03RB00001T6sPYYAZ|a03RB00001T6sPZYAZ|a03RB00001T6sPaYAJ|a03RB00001T6sPbYAJ|a03RB00001T6sPcYAJ|a03RB00001T6sPdYAJ|a03RB00001T6sPeYAJ|a03RB00001T6sPfYAJ|a03RB00001T6sPgYAJ|a03RB00001T6sPhYAJ
2026-08,CN-00000239,森ビル株式会社_2026-08-01,Rendery Proプラン,6,6,96000,16000|16000|16000|16000|16000|16000,a09RB000014OhiXYAS|a09RB000014OhsDYAS|a09RB000014OhvRYAS|a09RB000014Ohx3YAC|a09RB000014Oi1tYAC|a09RB000014O8o2YAC,a00RB00002Cb9PNYAZ|a00RB00002Cb9PNYAZ|a00RB00002Cb9PNYAZ|a00RB00002Cb9PNYAZ|a00RB00002Cb9PNYAZ|a00RB00002Cb9PNYAZ,a03RB00001WSLkwYAH|a03RB00001WSLkxYAH|a03RB00001WSLkyYAH|a03RB00001WSLkzYAH|a03RB00001WSLl0YAH|a03RB00001WSLl1YAH
2026-08,CN-00000241,株式会社フジタ　生産性向上推進部（アップセル）_2026-08-01,Rendery Enterpriseプラン,8,8,20000,2500|2500|2500|2500|2500|2500|2500|2500,a09RB000014SKx3YAG|a09RB000014SL57YAG|a09RB000014SL8LYAW|a09RB000014SEi1YAG|a09RB000014RGAkYAO|a09RB000014SLI1YAO|a09RB000014SLLFYA4|a09RB000014SLjRYAW,a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV,a03RB00001WYiuvYAD|a03RB00001WYiuwYAD|a03RB00001WYiuxYAD|a03RB00001WYiuyYAD|a03RB00001WYiuzYAD|a03RB00001WYiv0YAD|a03RB00001WYiv1YAD|a03RB00001WYiv2YAD
2026-09,CN-00000241,株式会社フジタ　生産性向上推進部（アップセル）_2026-08-01,Rendery Enterpriseプラン,8,8,20000,2500|2500|2500|2500|2500|2500|2500|2500,a09RB000014SKx3YAG|a09RB000014SL57YAG|a09RB000014SL8LYAW|a09RB000014SEi1YAG|a09RB000014RGAkYAO|a09RB000014SLI1YAO|a09RB000014SLLFYA4|a09RB000014SLjRYAW,a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV,a03RB00001WYiv3YAD|a03RB00001WYiv4YAD|a03RB00001WYiv5YAD|a03RB00001WYiv6YAD|a03RB00001WYiv7YAD|a03RB00001WYiv8YAD|a03RB00001WYiv9YAD|a03RB00001WYivAYAT
2026-10,CN-00000241,株式会社フジタ　生産性向上推進部（アップセル）_2026-08-01,Rendery Enterpriseプラン,8,8,20000,2500|2500|2500|2500|2500|2500|2500|2500,a09RB000014SKx3YAG|a09RB000014SL57YAG|a09RB000014SL8LYAW|a09RB000014SEi1YAG|a09RB000014RGAkYAO|a09RB000014SLI1YAO|a09RB000014SLLFYA4|a09RB000014SLjRYAW,a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV,a03RB00001WYivBYAT|a03RB00001WYivCYAT|a03RB00001WYivDYAT|a03RB00001WYivEYAT|a03RB00001WYivFYAT|a03RB00001WYivGYAT|a03RB00001WYivHYAT|a03RB00001WYivIYAT
2026-11,CN-00000241,株式会社フジタ　生産性向上推進部（アップセル）_2026-08-01,Rendery Enterpriseプラン,8,8,20000,2500|2500|2500|2500|2500|2500|2500|2500,a09RB000014SKx3YAG|a09RB000014SL57YAG|a09RB000014SL8LYAW|a09RB000014SEi1YAG|a09RB000014RGAkYAO|a09RB000014SLI1YAO|a09RB000014SLLFYA4|a09RB000014SLjRYAW,a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV,a03RB00001WYivJYAT|a03RB00001WYivKYAT|a03RB00001WYivLYAT|a03RB00001WYivMYAT|a03RB00001WYivNYAT|a03RB00001WYivOYAT|a03RB00001WYivPYAT|a03RB00001WYivQYAT
2026-12,CN-00000241,株式会社フジタ　生産性向上推進部（アップセル）_2026-08-01,Rendery Enterpriseプラン,8,8,20000,2500|2500|2500|2500|2500|2500|2500|2500,a09RB000014SKx3YAG|a09RB000014SL57YAG|a09RB000014SL8LYAW|a09RB000014SEi1YAG|a09RB000014RGAkYAO|a09RB000014SLI1YAO|a09RB000014SLLFYA4|a09RB000014SLjRYAW,a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV|a00RB00002CgDsDYAV,a03RB00001WYivRYAT|a03RB00001WYivSYAT|a03RB00001WYivTYAT|a03RB00001WYivUYAT|a03RB00001WYivVYAT|a03RB00001WYivWYAT|a03RB00001WYivXYAT|a03RB00001WYivYYAT
