attributes,Id,Name,Account__c,MasterContract__c,ContractPeriod__c,ContractYearMonth__c,Month__c,PeriodStartDate__c,PeriodEndDate__c,ProductMaster__c,QuotationLine__c,RelatedInvoice__c,RevenueAmount__c,Total__c,MRR_Target__c,InitialFee__c,PeopleNumber__c,CreatedDate,LastModifiedDate,ContractNumber,ContractName,ContractStatus,AccountName,ProductName,Issue
"{'type': 'ContractLineItem__c', 'url': '/services/data/v67.0/sobjects/ContractLineItem__c/a03RB00001VLhyrYAD'}",a03RB00001VLhyrYAD,a03RB00001VLhyr,001RB00001VcyFKYAZ,a04RB00000kVL7KYAW,a0BRB00000ynn552AA,2026/07,2026/07,2026-07-01,2026-07-31,a0CRB0000CcXZ6x2QG,,a00RB00002BahLfYAJ,225000,225000,False,False,1,2026-07-27T07:58:17.000+0000,2026-07-28T05:08:12.000+0000,CN-00000165,Mig_freee請求移行_クウジット株式会社,Draft,クウジット株式会社,受託開発,period_contract_mismatch
"{'type': 'ContractLineItem__c', 'url': '/services/data/v67.0/sobjects/ContractLineItem__c/a03RB00001VUaoZYAT'}",a03RB00001VUaoZYAT,a03RB00001VUaoZ,001RB00001VTqleYAD,a04RB00000kUAObYAO,a0BRB00000ynb6W2AQ,2026/06,2026/06,2026-06-01,2026-06-30,a0CRB0000CcXZ6S2QW,,a00RB00002DAbgvYAD,6400,6400,False,False,12,2026-07-28T04:58:43.000+0000,2026-08-19T10:25:53.000+0000,CN-00000063,大塚商会（大和財宅）,Activated,株式会社大塚商会,[年払_代理販売20%] Rendery Proプランネンバライ,invoice_contract_mismatch
"{'type': 'ContractLineItem__c', 'url': '/services/data/v67.0/sobjects/ContractLineItem__c/a03RB00001XlNH2YAN'}",a03RB00001XlNH2YAN,a03RB00001XlNH2,001RB00001VTqWFYA1,a04RB00000nmHDdYAM,a0BRB00001429CT2AY,2026/08,2026/08,2026-08-01,2026-08-31,a0CRB0000CcXZ6Q2QW,,a00RB00002Cb9PNYAZ,96000,96000,True,False,2,2026-08-10T13:41:34.000+0000,2026-08-19T10:25:53.000+0000,CN-00000251,森ビル株式会社 Rendery Proプラン Freee自動請求契約,Activated,森ビル株式会社,Rendery Proプラン,invoice_contract_mismatch
"{'type': 'ContractLineItem__c', 'url': '/services/data/v67.0/sobjects/ContractLineItem__c/a03RB00001XlNH3YAN'}",a03RB00001XlNH3YAN,a03RB00001XlNH3,001RB00001VTrqmYAD,a04RB00000nmHDeYAM,a0BRB00001429CU2AY,2026/08,2026/08,2026-08-01,2026-08-31,a0CRB0000CcXZ6Q2QW,,a00RB00002Crja9YAB,8000,8000,True,False,1,2026-08-10T13:41:34.000+0000,2026-08-19T10:25:53.000+0000,CN-00000252,センコー産業株式会社 Rendery Proプラン Freee自動請求契約,Activated,センコー産業株式会社,Rendery Proプラン,invoice_contract_mismatch
