dataset,rows,unique_ids,min_created,max_created
contracts,259,259,2026-06-21T16:07:45.000+0000,2026-09-10T13:07:44.000+0000
monthly,2330,2330,2026-06-21T16:13:55.000+0000,2026-09-10T13:07:45.000+0000
periods,454,454,2026-06-21T16:10:34.000+0000,2026-09-10T13:07:44.000+0000
invoices,528,528,2026-06-18T10:55:21.000+0000,2026-09-10T13:07:45.000+0000
invoice-lines,663,663,2026-06-18T10:55:21.000+0000,2026-09-10T13:07:45.000+0000
opportunities,521,521,2026-06-21T16:02:53.000+0000,2026-09-11T03:29:37.000+0000
quotations,66,66,2026-06-18T10:25:13.000+0000,2026-09-11T02:31:32.000+0000
quotation-lines,157,157,2026-06-18T10:28:11.000+0000,2026-09-11T02:33:06.000+0000
products,53,53,,
