"Name","ACV__c","ContractUpdate__c","Account__c","Contact__c","Description__c","ExpectedCloseDate__c","LostDate__c","LostReason__c","MRR__c","NextActivityDate__c","NextStep__c","StageName__c","StandardCloseDate__c","StandardProbability__c","StartDate__c","StandardStartDate__c","ExpectedDuration__c"
"生和コーポレーション株式会社 の取引","105600","月","001BS00001bgVaQYAU","","","","","","8800","2026-03-01","","Closed Won","2025-11-10","","","",""
"株式会社アル.パートナーズ建築設計 の取引","316800","月","001BS00001bgVZjYAM","","","","","","26400","2026-02-25","","Prospecting","","","","",""
"株式会社グローバルセンター の取引","145200","月","001BS00001bgVZqYAM","003BS00000f4JtcYAE","","","","","12100","","","Closed Won","2025-07-16","","","",""
"株式会社B-PROJECT の取引","792000","月","001BS00001bgVZvYAM","","","","","","66000","","","Closed Won","2025-09-01","","","",""
"アイリスチトセ株式会社 の取引","600000","月","001BS00001bgVZNYA2","003BS00000f4JssYAE","","2026-03-01","2026-04-22","Key person unreachable","50000","","","Closed Lost","2026-04-22","","","",""
"株式会社白水社 の取引","2440000","月","001BS00001bgVZsYAM","003BS00000f4JteYAE","","2026-07-01","","","195000","2026-04-01","","ValueProposition","","","","",""
"プラナス株式会社一級建築士事務所 の取引","66000","月","001BS00001bgVa0YAE","003BS00000f4NTsYAM","","","","","5500","2025-07-28","","Closed Won","2025-08-28","","","",""
"大東建託株式会社 の取引","1584000","月","001BS00001bgWNCYA2","","","","","","132000","","","Closed Won","2025-07-24","","","",""
"株式会社アルファ建築設計事務所 の取引","105600","月","001BS00001bgVazYAE","003BS00000f4NVAYA2","","","","","8800","","","Closed Won","2025-07-15","","","",""
"株式会社JR東日本建築設計 の取引","105600","月","001BS00001bgVvdYAE","003BS00000f4NVOYA2","","","","","8800","","","Closed Won","2025-07-15","","","",""
"株式会社石勝エクステリア の取引","1780000","月","001BS00001bgVbAYAU","003BS00000f4NVPYA2","","","","","140000","","","Closed Won","2025-10-02","","","",""
"株式会社アットオフィス の取引","660000","月","001BS00001bgVZUYA2","003BS00000f4JtAYAU","","","","","55000","","","Closed Won","2025-10-17","","","",""
"株式会社マルク の取引","726000","月","001BS00001bgVZfYAM","003BS00000f4JtNYAU","","","","","60500","","","Closed Won","2025-07-18","","","",""
"Atelier Ohtaki architecture の取引","66000","月","001BS00001bgVa4YAE","003BS00000f4NTwYAM","","","","","5500","","","Closed Won","2025-07-18","","","",""
"JOA株式会社 の取引","660000","月","001BS00001bgVZzYAM","","","","","","55000","","","Closed Won","2025-08-22","","","",""
"ホームトレードセンター株式会社 の取引","145200","月","001BS00001bgVbPYAU","003BS00000f4NbyYAE","","","","","12100","","","Closed Won","2025-07-25","","","",""
