Id,Name,InvoiceWork__c,InvoiceWork__r.Name,Description__c,Quantity__c,UnitPrice__c,LineAmount__c,TaxAmount__c,SuggestedProductMaster__c,ConfirmedProductMaster__c,ProductResolveStatus__c,ImportStatus__c,CreatedInvoiceLine__c,CreatedInvoiceLine__r.ProductMaster__c
a0ERB00000Nrx9x2AB,MFILW-000092,a0FRB00000UtK9z2AF,MFIW-000048,KnockKnockAI_Basicプラン(月額),1,11000,11000,1100,a0CRB0000CcXZ6T2QW,a0CRB0000CcXZ6i2QG,確定済み,反映済み,a01RB00001VdyfXYAR,a0CRB0000CcXZ6i2QG
a0ERB00000NrxeU2AR,MFILW-000139,a0FRB00000UtKRh2AN,MFIW-000077,KnockKnockAI_Basicプラン(月額),1,11000,11000,1100,a0CRB0000CcXZ6T2QW,a0CRB0000CcXZ6i2QG,確定済み,反映済み,a01RB00001VdygFYAR,a0CRB0000CcXZ6i2QG
a0ERB00000OjnWk2AJ,MFILW-000263,a0FRB00000WicaM2AR,MFIW-000167,KnockKnockAI_Basicプラン(月額),1,11000,11000,1100,,a0CRB0000CcXZ6i2QG,確定済み,取得済み,a01RB00001ZIQfcYAH,a0CRB0000CcXZ6T2QW
a0ERB00000OjwBn2AJ,MFILW-000322,a0FRB00000WjSKN2A3,MFIW-000223,KnockKnockAI_Basicプラン(月額),1,11000,11000,1100,a0CRB0000CcXZ6i2QG,a0CRB0000CcXZ6i2QG,確定済み,反映済み,a01RB00001cID5YYAW,a0CRB0000CcXZ6i2QG
a0ERB00000PIXwp2AH,MFILW-000553,a0FRB00000YqSO42AN,MFIW-000417,KnockKnockAI_Basicプラン(月額),1,11000,11000,1100,a0CRB0000CcXZ6i2QG,a0CRB0000CcXZ6i2QG,確定済み,反映済み,a01RB00001cID5gYAG,a0CRB0000CcXZ6i2QG
