Id,ProductMaster__c,MRR_Target__c,ARR_Target__c,RevenueAmount__c
a03RB00001NswaCYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001NswaDYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001STmGzYAL,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001NswaHYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaIYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaJYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaKYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaLYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaMYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaNYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaOYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaPYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaQYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswaRYAR,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001STmH0YAL,a0CRB0000CcXZ6Q2QW,true,true,16000
a03RB00001NswbJYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbKYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbLYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbMYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbNYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbOYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbPYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbQYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbRYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbSYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswbTYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001STmH1YAL,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcLYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
