Id,Name,InvoiceAmount__c,CreatedInvoice__c,ImportStatus__c,ValidationMessage__c
a0FRB00000WhTPS2A3,MFIW-000186,60500,a00RB000027fzNUYAY,要確認,請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery(エンタープライズプラン)」の商品マスタを確認してください。
a0FRB00000WhTPX2A3,MFIW-000191,12100,a00RB000027fzNXYAY,要確認,請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery(エンタープライズプラン)」の商品マスタを確認してください。
a0FRB00000WhTPY2A3,MFIW-000192,60500,a00RB000027fzNYYAY,要確認,請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン(月額)」の商品マスタを確認してください。
a0FRB00000WihDL2AZ,MFIW-000201,605000,a00RB000027fzNsYAI,要確認,請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン」の商品マスタを確認してください。
