"Id","Name","InvoiceWork__c","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","ResolveMessage__c"
"a0ERB00000Ok2KM2AZ","MFILW-000474","a0FRB00000WjhzG2AR","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000Ok2KN2AZ","MFILW-000475","a0FRB00000WjhzH2AR","Rendery_Pro_月額利用料","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000Ok2KP2AZ","MFILW-000477","a0FRB00000WjhzJ2AR","Rendery_Pro_月額利用料","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000Ok2KQ2AZ","MFILW-000478","a0FRB00000WjhzK2AR","knock knock AI_Enterpriseプラン(月額)","700","160","112000",,,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000Ok2KS2AZ","MFILW-000480","a0FRB00000WjhzM2AR","Rendery＿Enterpriseプラン_月額","7","11000","77000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000Ok2KT2AZ","MFILW-000481","a0FRB00000WjhzN2AR","Rendery_Pro_月額利用料","2","8000","16000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000Oy1t32AB","MFILW-000483","a0FRB00000XX8tV2AT","講師費","1","60000","60000",,,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000Oy1t42AB","MFILW-000484","a0FRB00000XX8tV2AT","交通費（往復）","3","22600","67800",,,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000PHeU52AL","MFILW-000485","a0FRB00000YomM12AJ","外観モデル","6","75000","450000",,,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000PHnM62AL","MFILW-000486","a0FRB00000Ypg4s2AB","Rendery Enterpriseプラン_月額","12","11000","132000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PHnM72AL","MFILW-000487","a0FRB00000Ypg4t2AB","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
