"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000UtKJO2A3","MFIW-000058","55195797","INV-0000001104","神奈川県知事　黒岩　祐治","2026-03-31","1870000","要確認","001RB00001VcyFOYAZ","a04RB00000kVL7gYAG","a0BRB00000ypw6M2AQ","a00RB000024Ux4qYAC","請求金額と明細合計が一致していません。請求金額=1870000、明細合計=2057000"
"a0FRB00000UtKJP2A3","MFIW-000059","55196219","INV-0000001105","神奈川県知事　黒岩　祐治","2026-03-31","1870000","要確認","001RB00001VcyFOYAZ","a04RB00000kVL7gYAG","a0BRB00000ypw6M2AQ",,"請求金額と明細合計が一致していません。請求金額=1870000、明細合計=2057000"
"a0FRB00000Wjfvp2AB","MFIW-000293","56527528","INV-0000001129","株式会社博進コスモプラザ","2026-04-20","12100","要確認","001RB00001VTtIXYA1","a04RB00000kUAPlYAO","a0BRB00000ynn5d2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wjfvr2AB","MFIW-000295","56527531","INV-0000001131","株式会社ヨコハマ地所","2026-04-20","12100","要確認","001RB00001br9KKYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wjfvs2AB","MFIW-000296","56527532","INV-0000001132","リアルティホールディングス株式会社","2026-04-20","175450","要確認","001RB00001VTtIUYA1","a04RB00000kUAPdYAO","a0BRB00000ynn5V2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wjfvt2AB","MFIW-000297","56527533","INV-0000001133","株式会社穂積住宅","2026-04-20","36300","要確認","001RB00001VTqaGYAT","a04RB00000kUAPbYAO","a0BRB00000ynn5T2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wjfvu2AB","MFIW-000298","56527535","INV-0000001134","株式会社イーグランド","2026-04-20","12100","要確認","001RB00001VTqZVYA1","a04RB00000kUAPXYA4","a0BRB00000ynn5P2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wjfvv2AB","MFIW-000299","56527536","INV-0000001135","アグレ都市デザイン株式会社","2026-04-20","12100","要確認","001RB00001VTCYzYAP",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wjfvw2AB","MFIW-000300","56527537","INV-0000001136","株式会社ハウスプラザ","2026-04-20","12100","要確認","001RB00001VTqZpYAL","a04RB00000kUAPVYA4","a0BRB00000ynn5N2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wjfvx2AB","MFIW-000301","56527538","INV-0000001137","株式会社JR東日本建築設計","2026-04-20","8800","要確認","001RB00001br9KSYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
